Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
INFINITI Q50,3,6,SemiAuto-7,4WD,Gasoline,CA,U2,California LEV-II ULEV,JNSXV03.0NHA,midsize car,3,19,27,22,4,No,408
INFINITI Q50 Hybrid,3.5,6,SemiAuto-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXV03.5NCB,small car,3,27,32,29,6,No,308
INFINITI Q50 Hybrid,3.5,6,SemiAuto-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,JNSXV03.5NCB,small car,3,27,32,29,6,No,308
INFINITI Q50 Hybrid,3.5,6,SemiAuto-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXV03.5NCB,small car,3,26,30,28,6,No,321
INFINITI Q50 Hybrid,3.5,6,SemiAuto-7,4WD,Gasoline,CA,U2,California LEV-II ULEV,JNSXV03.5NCB,small car,3,26,30,28,6,No,321
INFINITI Q50 Red Sport,3,6,SemiAuto-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXV03.0NHA,midsize car,3,20,26,22,4,No,404
INFINITI Q50 Red Sport,3,6,SemiAuto-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,JNSXV03.0NHA,midsize car,3,20,26,22,4,No,404
INFINITI Q50 Red Sport,3,6,SemiAuto-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXV03.0NHA,midsize car,3,19,26,22,4,No,405
INFINITI Q50 Red Sport,3,6,SemiAuto-7,4WD,Gasoline,CA,U2,California LEV-II ULEV,JNSXV03.0NHA,midsize car,3,19,26,22,4,No,405
INFINITI Q70,3.7,6,SemiAuto-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXV03.7NAA,midsize car,3,18,25,21,4,No,433
INFINITI Q70,3.7,6,SemiAuto-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,JNSXV03.7NAA,midsize car,3,18,25,21,4,No,433
INFINITI Q70,3.7,6,SemiAuto-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXV03.7NAB,midsize car,3,18,24,20,4,No,442
INFINITI Q70,3.7,6,SemiAuto-7,4WD,Gasoline,CA,U2,California LEV-II ULEV,JNSXV03.7NAB,midsize car,3,18,24,20,4,No,442
INFINITI Q70,5.6,8,SemiAuto-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXV05.6N9A,midsize car,3,16,24,19,3,No,464
INFINITI Q70,5.6,8,SemiAuto-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,JNSXV05.6N9A,midsize car,3,16,24,19,3,No,464
INFINITI Q70,5.6,8,SemiAuto-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXV05.6N9A,midsize car,3,16,23,18,3,No,490
INFINITI Q70,5.6,8,SemiAuto-7,4WD,Gasoline,CA,U2,California LEV-II ULEV,JNSXV05.6N9A,midsize car,3,16,23,18,3,No,490
INFINITI Q70 Hybrid,3.5,6,SemiAuto-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXV03.5NCB,midsize car,3,28,33,30,7,Yes,296
INFINITI Q70 Hybrid,3.5,6,SemiAuto-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,JNSXV03.5NCB,midsize car,3,28,33,30,7,Yes,296
INFINITI QX30,2,4,AutoMan-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JNSXV02.0NKA,small car,3,24,33,27,6,No,324
INFINITI QX30,2,4,AutoMan-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXV02.0NKA,small car,3,24,33,27,6,No,324
INFINITI QX30,2,4,AutoMan-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JNSXV02.0NKA,small car,3,21,30,25,5,No,362
INFINITI QX30,2,4,AutoMan-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXV02.0NKA,small car,3,21,30,25,5,No,362
JAGUAR F-Pace,2,4,SemiAuto-8,4WD,Diesel,CA,L3LEV160,California LEV-III LEV160,JJLXJ02.0STY,small SUV,1,26,33,29,5,No,352
JAGUAR F-Pace,2,4,SemiAuto-8,4WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,JJLXJ02.0STY,small SUV,1,26,33,29,5,No,352
JAGUAR F-Pace,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ02.0RTX,small SUV,7,22,27,24,5,No,365
JAGUAR F-Pace,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ02.0RTX,small SUV,7,22,27,24,5,No,365
JAGUAR F-Pace,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ03.0FSP,small SUV,7,18,23,20,4,No,446
JAGUAR F-Pace,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ03.0FSP,small SUV,7,18,23,20,4,No,446
JAGUAR F-Type Convertible,3,6,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ03.0FSP,small car,7,16,24,19,3,No,476
JAGUAR F-Type Convertible,3,6,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ03.0FSP,small car,7,16,24,19,3,No,476
JAGUAR F-Type Convertible,3,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ03.0FSP,small car,7,20,28,23,5,No,390
JAGUAR F-Type Convertible,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ03.0FSP,small car,7,20,28,23,5,No,390
JAGUAR F-Type Coupe,3,6,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ03.0FSP,small car,7,16,24,19,3,No,476
JAGUAR F-Type Coupe,3,6,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ03.0FSP,small car,7,16,24,19,3,No,476
JAGUAR F-Type Coupe,3,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ03.0FSP,small car,7,20,28,23,5,No,390
JAGUAR F-Type Coupe,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ03.0FSP,small car,7,20,28,23,5,No,390
JAGUAR F-Type R Convertible,5,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JJLXV05.0FAM,small car,3,15,23,18,3,No,500
JAGUAR F-Type R Convertible,5,8,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,JJLXV05.0FAM,small car,3,15,23,18,3,No,500
JAGUAR F-Type R Coupe,5,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JJLXV05.0FAM,small car,3,15,23,18,3,No,500
JAGUAR F-Type R Coupe,5,8,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,JJLXV05.0FAM,small car,3,15,23,18,3,No,500
JAGUAR F-Type S Convertible,3,6,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ03.0FSP,small car,7,15,24,18,3,No,485
JAGUAR F-Type S Convertible,3,6,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ03.0FSP,small car,7,15,24,18,3,No,485
JAGUAR F-Type S Convertible,3,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ03.0FSP,small car,7,19,27,22,4,No,407
JAGUAR F-Type S Convertible,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ03.0FSP,small car,7,19,27,22,4,No,407
JAGUAR F-Type S Convertible,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ03.0FSP,small car,7,18,26,21,4,No,426
JAGUAR F-Type S Convertible,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ03.0FSP,small car,7,18,26,21,4,No,426
JAGUAR F-Type S Coupe,3,6,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ03.0FSP,small car,7,15,24,18,3,No,485
JAGUAR F-Type S Coupe,3,6,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ03.0FSP,small car,7,15,24,18,3,No,485
JAGUAR F-Type S Coupe,3,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ03.0FSP,small car,7,19,27,22,4,No,407
JAGUAR F-Type S Coupe,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ03.0FSP,small car,7,19,27,22,4,No,407
JAGUAR F-Type S Coupe,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ03.0FSP,small car,7,18,26,21,4,No,426
JAGUAR F-Type S Coupe,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ03.0FSP,small car,7,18,26,21,4,No,426
JAGUAR XE,2,4,SemiAuto-8,2WD,Diesel,CA,L3LEV160,California LEV-III LEV160,JJLXJ02.0STY,small car,1,32,42,36,7,No,284
JAGUAR XE,2,4,SemiAuto-8,2WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,JJLXJ02.0STY,small car,1,32,42,36,7,No,284
JAGUAR XE,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ02.0RTX,small car,7,25,34,28,6,No,312
JAGUAR XE,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ02.0RTX,small car,7,25,34,28,6,No,312
JAGUAR XE,2,4,SemiAuto-8,4WD,Diesel,CA,L3LEV160,California LEV-III LEV160,JJLXJ02.0STY,small car,1,30,40,34,7,No,299
JAGUAR XE,2,4,SemiAuto-8,4WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,JJLXJ02.0STY,small car,1,30,40,34,7,No,299
JAGUAR XE,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ02.0RTX,small car,7,24,34,28,6,No,321
JAGUAR XE,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ02.0RTX,small car,7,24,34,28,6,No,321
JAGUAR XE,3,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ03.0FSP,small car,7,21,30,24,5,No,369
JAGUAR XE,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ03.0FSP,small car,7,21,30,24,5,No,369
JAGUAR XE,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ03.0FSP,small car,7,20,29,23,5,No,383
JAGUAR XE,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ03.0FSP,small car,7,20,29,23,5,No,383
JAGUAR XF,2,4,SemiAuto-8,2WD,Diesel,CA,L3LEV160,California LEV-III LEV160,JJLXJ02.0STY,midsize car,1,31,42,35,7,No,289
JAGUAR XF,2,4,SemiAuto-8,2WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,JJLXJ02.0STY,midsize car,1,31,42,35,7,No,289
JAGUAR XF,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ02.0RTX,midsize car,7,25,34,28,6,No,312
JAGUAR XF,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ02.0RTX,midsize car,7,25,34,28,6,No,312
JAGUAR XF,2,4,SemiAuto-8,4WD,Diesel,CA,L3LEV160,California LEV-III LEV160,JJLXJ02.0STY,midsize car,1,30,40,34,7,No,299
JAGUAR XF,2,4,SemiAuto-8,4WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,JJLXJ02.0STY,midsize car,1,30,40,34,7,No,299
JAGUAR XF,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ02.0RTX,midsize car,7,23,33,27,6,No,333
JAGUAR XF,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ02.0RTX,midsize car,7,23,33,27,6,No,333
JAGUAR XF,3,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ03.0FSP,midsize car,7,20,29,23,5,No,377
JAGUAR XF,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ03.0FSP,midsize car,7,20,29,23,5,No,377
JAGUAR XF,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JJLXJ03.0FSP,midsize car,7,20,28,23,5,No,390
JAGUAR XF,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JJLXJ03.0FSP,midsize car,7,20,28,23,5,No,390
JEEP Cherokee,2.4,4,Auto-9,2WD,Ethanol/Gas,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT02.45PA,small SUV,3,15/21,22/30,18/25,5,No,351/361
JEEP Cherokee,2.4,4,Auto-9,2WD,Ethanol/Gas,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT02.45PA,small SUV,3,15/21,22/30,18/25,5,No,351/361
JEEP Cherokee,2.4,4,Auto-9,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JCRXT02.45P1,small SUV,7,21,30,25,5,No,361
JEEP Cherokee,2.4,4,Auto-9,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JCRXT02.45P1,small SUV,7,21,30,25,5,No,361
JEEP Cherokee,2.4,4,Auto-9,4WD,Ethanol/Gas,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT02.45PA,small SUV,3,14/21,21/28,17/23,5,No,372/378
JEEP Cherokee,2.4,4,Auto-9,4WD,Ethanol/Gas,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT02.45PA,small SUV,3,14/21,21/28,17/23,5,No,372/378
JEEP Cherokee,2.4,4,Auto-9,4WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT02.45P0,small SUV,3,21,28,23,5,No,378
JEEP Cherokee,2.4,4,Auto-9,4WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT02.45P0,small SUV,3,21,28,23,5,No,378
JEEP Cherokee,3.2,6,Auto-9,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT03.25P0,small SUV,3,21,29,24,5,No,377
JEEP Cherokee,3.2,6,Auto-9,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT03.25P0,small SUV,3,21,29,24,5,No,377
JEEP Cherokee,3.2,6,Auto-9,4WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT03.25P0,small SUV,3,20,27,23,5,No,388
JEEP Cherokee,3.2,6,Auto-9,4WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT03.25P0,small SUV,3,20,27,23,5,No,388
JEEP Cherokee 4x4 Active Drive II,2.4,4,Auto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JCRXT02.45P1,small SUV,7,21,27,23,5,No,385
JEEP Cherokee 4x4 Active Drive II,2.4,4,Auto-9,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JCRXT02.45P1,small SUV,7,21,27,23,5,No,385
JEEP Cherokee 4x4 Active Drive II,2.4,4,Auto-9,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,JCRXT02.45P3,small SUV,1,21,27,23,5,No,385
JEEP Cherokee 4x4 Active Drive II,2.4,4,Auto-9,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,JCRXT02.45P3,small SUV,1,21,27,23,5,No,385
JEEP Cherokee 4x4 Active Drive II,3.2,6,Auto-9,4WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT03.25P0,small SUV,3,18,26,21,4,No,416
JEEP Cherokee 4x4 Active Drive II,3.2,6,Auto-9,4WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT03.25P0,small SUV,3,18,26,21,4,No,416
JEEP Cherokee Trailhawk,2.4,4,Auto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JCRXT02.45P1,small SUV,7,19,25,22,4,No,412
JEEP Cherokee Trailhawk,2.4,4,Auto-9,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JCRXT02.45P1,small SUV,7,19,25,22,4,No,412
JEEP Cherokee Trailhawk,2.4,4,Auto-9,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,JCRXT02.45P3,small SUV,1,19,25,22,4,No,412
JEEP Cherokee Trailhawk,2.4,4,Auto-9,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,JCRXT02.45P3,small SUV,1,19,25,22,4,No,412
JEEP Cherokee Trailhawk,3.2,6,Auto-9,4WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT03.25P0,small SUV,3,18,24,21,4,No,432
JEEP Cherokee Trailhawk,3.2,6,Auto-9,4WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT03.25P0,small SUV,3,18,24,21,4,No,432
JEEP Compass,2.4,4,Auto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JCRXT02.45P1,small SUV,7,22,31,25,5,No,350
JEEP Compass,2.4,4,Auto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JCRXT02.45P1,small SUV,7,22,31,25,5,No,350
JEEP Compass,2.4,4,Auto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JCRXT02.45P1,small SUV,7,22,30,25,5,No,358
JEEP Compass,2.4,4,Auto-9,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JCRXT02.45P1,small SUV,7,22,30,25,5,No,358
JEEP Compass,2.4,4,Man-6,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT02.45P0,small SUV,3,23,32,26,5,No,339
JEEP Compass,2.4,4,Man-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT02.45P0,small SUV,3,23,32,26,5,No,339
JEEP Compass,2.4,4,Man-6,4WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT02.45P0,small SUV,3,22,31,25,5,No,355
JEEP Compass,2.4,4,Man-6,4WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT02.45P0,small SUV,3,22,31,25,5,No,355
JEEP Grand Cherokee,3.6,6,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JCRXT03.65P5,standard SUV,5,19,26,21,4,No,414
JEEP Grand Cherokee,3.6,6,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JCRXT03.65P5,standard SUV,5,19,26,21,4,No,414
JEEP Grand Cherokee,3.6,6,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JCRXT03.65P5,standard SUV,5,18,25,21,4,No,427
JEEP Grand Cherokee,3.6,6,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JCRXT03.65P5,standard SUV,5,18,25,21,4,No,427
JEEP Grand Cherokee,5.7,8,Auto-8,4WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT05.75P2,standard SUV,3,14,22,17,3,No,533
JEEP Grand Cherokee,5.7,8,Auto-8,4WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXT05.75P2,standard SUV,3,14,22,17,3,No,533
JEEP Grand Cherokee SRT,6.4,8,Auto-8,4WD,Gasoline,CA,L2,California LEV-II LEV,JCRXT06.45P1,standard SUV,1,13,19,15,2,No,592
JEEP Grand Cherokee SRT,6.4,8,Auto-8,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,JCRXT06.45P1,standard SUV,1,13,19,15,2,No,592
KARMA Revero,2,4,Auto-1,2WD,Gasoline/Electricity,FA,B5,Federal Tier 2 Bin 5,JKALV02.0LEV,small car,1,20/59,21/61,20/60,10,No,151
KARMA Revero,2,4,Auto-1,2WD,Gasoline/Electricity,CA,L2,California LEV-II LEV,JKALV02.0LEV,small car,1,20/59,21/61,20/60,10,No,151
KIA Forte,2,4,Man-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JKMXV02.04E5,midsize car,5,25,34,28,6,No,314
KIA Forte,2,4,Man-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JKMXV02.04E5,midsize car,5,25,34,28,6,No,314
KIA Forte,2,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JKMXV02.04E3,midsize car,7,29,37,32,7,Yes,279
KIA Forte,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JKMXV02.04E3,midsize car,7,29,37,32,7,Yes,279
KIA Forte,2,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JKMXV02.04E5,midsize car,5,29,37,32,7,Yes,279
KIA Forte,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JKMXV02.04E5,midsize car,5,29,37,32,7,Yes,279
KIA Forte,2,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JKMXV02.04F3,midsize car,7,25,33,28,6,No,318
KIA Forte,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JKMXV02.04F3,midsize car,7,25,33,28,6,No,318
KIA Forte,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JKMXV02.04FF,midsize car,3,25,33,28,6,No,318
KIA Forte,2,4,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,JKMXV02.04FF,midsize car,3,25,33,28,6,No,318
KIA Forte5,1.6,4,AutoMan-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JKMXV01.6DDF,large car,3,25,30,27,6,No,332
KIA Forte5,1.6,4,AutoMan-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,JKMXV01.6DDF,large car,3,25,30,27,6,No,332
KIA Forte5,1.6,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JKMXV01.6DDF,large car,3,23,29,25,5,No,353
KIA Forte5,1.6,4,Man-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,JKMXV01.6DDF,large car,3,23,29,25,5,No,353
KIA Forte5,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JKMXV02.04FF,large car,3,25,34,28,6,No,317
KIA Forte5,2,4,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,JKMXV02.04FF,large car,3,25,34,28,6,No,317
KIA Optima,1.6,4,AutoMan-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JKMXV01.64VF,large car,3,28,37,31,7,Yes,286
KIA Optima,1.6,4,AutoMan-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,JKMXV01.64VF,large car,3,28,37,31,7,Yes,286
KIA Optima,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JKMXV02.04GF,large car,3,22,31,25,5,No,360
KIA Optima,2,4,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,JKMXV02.04GF,large car,3,22,31,25,5,No,360
KIA Optima,2.4,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JHYXV02.4AJ3,large car,7,24,34,28,6,No,321
KIA Optima,2.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JHYXV02.4AJ3,large car,7,24,34,28,6,No,321
KIA Optima,2.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JHYXV02.4AJ5,large car,5,24,34,28,6,No,321
KIA Optima,2.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JHYXV02.4AJ5,large car,5,24,34,28,6,No,321
KIA Optima FE,2.4,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JHYXV02.4AJ3,large car,7,25,36,29,6,No,310
KIA Optima FE,2.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JHYXV02.4AJ3,large car,7,25,36,29,6,No,310
KIA Optima FE,2.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JHYXV02.4AJ5,large car,5,25,36,29,6,No,310
KIA Optima FE,2.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JHYXV02.4AJ5,large car,5,25,36,29,6,No,310
KIA Rio,1.6,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JKMXV01.6DA6,small car,3,29,37,32,7,Yes,277
KIA Rio,1.6,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JKMXV01.6DA6,small car,3,29,37,32,7,Yes,277
KIA Rio,1.6,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JKMXV01.6DA6,small car,3,28,37,32,7,Yes,280
KIA Rio,1.6,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JKMXV01.6DA6,small car,3,28,37,32,7,Yes,280
KIA Sedona,3.3,6,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JKMXT03.34SF,minivan,3,18,24,20,4,No,443
KIA Sedona,3.3,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,JKMXT03.34SF,minivan,3,18,24,20,4,No,443
KIA Sedona SX,3.3,6,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JKMXT03.34SF,minivan,3,18,25,21,4,No,433
KIA Sedona SX,3.3,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,JKMXT03.34SF,minivan,3,18,25,21,4,No,433
KIA Sedona SXL,3.3,6,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JKMXT03.34SF,minivan,3,17,22,19,3,No,476
KIA Sedona SXL,3.3,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,JKMXT03.34SF,minivan,3,17,22,19,3,No,476
KIA Sorento,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JKMXV02.04WF,small SUV,3,20,27,23,5,No,397
KIA Sorento,2,4,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,JKMXV02.04WF,small SUV,3,20,27,23,5,No,397
