Name,Symbol,LastSale,MarketCapLabel,MarketCapAmount,IPOyear,Sector,industry,Summary Quote
"Intercept Pharmaceuticals, Inc.",ICPT,218.89,$4.94B,4940000000,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/icpt
"InterCloud Systems, Inc",ICLD,2.71,$46.2M,46200000,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/icld
"InterCloud Systems, Inc",ICLDW,1.575,n/a,0,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/icldw
"InterDigital, Inc.",IDCC,51.66,$1.92B,1920000000,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/idcc
"Interface, Inc.",TILE,18.91,$1.25B,1250000000,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/tile
"Intermolecular, Inc.",IMI,1.73,$82.34M,82340000,2011,Technology,Semiconductors,http://www.nasdaq.com/symbol/imi
Internap Corporation,INAP,9.04,$491.65M,491650000,1999,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/inap
International Bancshares Corporation,IBOC,24.65,$1.64B,1640000000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/iboc
International Speedway Corporation,ISCA,31.98,$1.49B,1490000000,1996,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/isca
Internet Gold Golden Lines Ltd.,IGLD,4.38,$84.11M,84110000,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/igld
"Internet Initiative Japan, Inc.",IIJI,9.75,$895.87M,895870000,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/iiji
Internet Patents Corporation,PTNT,2.65,$20.54M,20540000,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ptnt
Interphase Corporation,INPH,2.17,$18.18M,18180000,1984,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/inph
"Intersect ENT, Inc.",XENT,22.7,$530.65M,530650000,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/xent
"Intersections, Inc.",INTX,3.76,$69.68M,69680000,2004,Technology,EDP Services,http://www.nasdaq.com/symbol/intx
Intersil Corporation,ISIL,15.36,$2B,2000000000,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/isil
"Interval Leisure Group, Inc.",IILG,25.84,$1.48B,1480000000,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/iilg
"Intevac, Inc.",IVAC,7,$163.1M,163100000,1995,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ivac
INTL FCStone Inc.,INTL,25.2,$475.43M,475430000,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/intl
INTL FCStone Inc.,INTLL,25.76,n/a,0,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/intll
Intra-Cellular Therapies Inc.,ITCI,25.65,$754.04M,754040000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/itci
IntriCon Corporation,IIN,7.85,$45.74M,45740000,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/iin
Intuit Inc.,INTU,96.72,$27.61B,27610000000,1993,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/intu
"Intuitive Surgical, Inc.",ISRG,513.31,$18.79B,18790000000,2000,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/isrg
"Inventergy Global, Inc.",INVT,0.51,$13.66M,13660000,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/invt
"Inventure Foods, Inc.",SNAK,10.72,$209.44M,209440000,1996,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/snak
Investar Holding Corporation,ISTR,14.6,$105.91M,105910000,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/istr
"Investors Bancorp, Inc.",ISBC,11.68,$4.18B,4180000000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/isbc
Investors Title Company,ITIC,73.81,$149.75M,149750000,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/itic
iPass Inc.,IPAS,0.9,$58.17M,58170000,2003,Technology,EDP Services,http://www.nasdaq.com/symbol/ipas
iPath US Treasury 10-year Bear ETN,DTYS,21.71,$68.19M,68190000,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dtys
iPath US Treasury 10-year Bull ETN,DTYL,74.72,$5.38M,5380000,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dtyl
iPath US Treasury 2-year Bear ETN,DTUS,34.81,$13.02M,13020000,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dtus
iPath US Treasury 2-year Bull ETN,DTUL,61.4,$4.39M,4390000,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dtul
iPath US Treasury 5-year Bear Exchange Traded Note,DFVS,34.32,$1.73M,1730000,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dfvs
iPath US Treasury 5-year Bull ETN,DFVL,62.98,$1.89M,1890000,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dfvl
iPath US Treasury Flattener ETN,FLAT,60.948,$5.06M,5060000,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/flat
iPath US Treasury Long Bond Bear ETN,DLBS,21.46,$17.8M,17800000,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dlbs
iPath US Treasury Long Bond Bull ETN,DLBL,78.1401,$4.4M,4400000,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dlbl
iPath US Treasury Steepener ETN,STPP,34.29,$13.96M,13960000,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/stpp
"IPC Healthcare, Inc.",IPCM,41.71,$718.35M,718350000,2008,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/ipcm
IPG Photonics Corporation,IPGP,93.28,$4.87B,4870000000,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/ipgp
iRadimed Corporation,IRMD,14.7305,$159.31M,159310000,2014,n/a,n/a,http://www.nasdaq.com/symbol/irmd
IRIDEX Corporation,IRIX,9.83,$96.74M,96740000,1996,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/irix
Iridium Communications Inc,IRDM,9.58,$898.05M,898050000,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/irdm
Iridium Communications Inc,IRDMB,357.9,$178.95M,178950000,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/irdmb
iRobot Corporation,IRBT,31.46,$933.49M,933490000,2005,Consumer Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/irbt
"Ironwood Pharmaceuticals, Inc.",IRWD,15.65,$2.19B,2190000000,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/irwd
IRSA Propiedades Comerciales S.A.,IRCP,23.01,$724.9M,724900000,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/ircp
ISE Global Copper Index First Trust,CU,17.57,$21.96M,21960000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cu
iShares 1-3 Year International Treasury Bond ETF,ISHG,81.41,$154.68M,154680000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ishg
iShares Commodities Select Strategy ETF,COMT,40.93,n/a,0,n/a,n/a,n/a,http://www.nasdaq.com/symbol/comt
iShares FTSE China Index Fund,FCHI,53.11,$26.56M,26560000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fchi
iShares FTSE EPRA/NAREIT Asia Index Fund,IFAS,32.16,$19.3M,19300000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ifas
iShares FTSE EPRA/NAREIT Europe Index Fund,IFEU,40.49,$48.59M,48590000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ifeu
iShares FTSE EPRA/NAREIT Global Real Estate ex-US Index Fund,IFGL,32.07,$997.38M,997380000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ifgl
iShares FTSE EPRA/NAREIT North America Index Fund,IFNA,59.748,$23.9M,23900000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ifna
iShares GNMA Bond ETF,GNMA,50.2932,$40.23M,40230000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gnma
iShares MSCI ACWI ex US Index Fund,ACWX,45.21,$1.84B,1840000000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acwx
iShares MSCI ACWI Index Fund,ACWI,61.01,$6.59B,6590000000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acwi
iShares MSCI All Country Asia ex Japan Index Fund,AAXJ,63.66,$3.67B,3670000000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aaxj
iShares MSCI All Country Asia ex Japan Small Cap Index Fund,AXJS,56.813,$5.68M,5680000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/axjs
iShares MSCI All Country Asia Information Technology Index Fun,AAIT,35.05,$7.01M,7010000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aait
iShares MSCI Emerging Markets Asia Index,EEMA,60.76,$91.14M,91140000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eema
iShares MSCI Emerging Markets Consumer Discretionary Index,EMDI,53.89,$5.39M,5390000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/emdi
iShares MSCI Emerging Markets EMEA Index Fund,EEME,45.11,$9.02M,9020000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eeme
iShares MSCI Emerging Markets Energy Sector Capped Index Fund,EMEY,29.28,$1.46M,1460000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/emey
iShares MSCI Emerging Markets Growth ETF,EGRW,55,$5.5M,5500000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/egrw
iShares MSCI Emerging Markets Latin America ETF,EEML,35.52,$10.66M,10660000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eeml
iShares MSCI Emerging Markets Value Index Fund,EVAL,44.44,$22.22M,22220000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eval
iShares MSCI Europe Financials Sector Index Fund,EUFN,23.13,$420.97M,420970000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eufn
iShares MSCI Europe Small-Cap ETF,IEUS,44.83,$38.11M,38110000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ieus
iShares MSCI Qatar Capped ETF,QAT,24.5,$33.08M,33080000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/qat
iShares MSCI UAE Capped ETF,UAE,19.99,$43.98M,43980000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/uae
iShares Nasdaq Biotechnology Index Fund,IBB,336.43,$7.65B,7650000000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibb
iShares PHLX SOX Semiconductor Sector Index Fund,SOXX,96.31,$582.68M,582680000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/soxx
iShares S&P Emerging Markets Infrastructure Index Fund,EMIF,32.71,$85.05M,85050000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/emif
iShares S&P Global Clean Energy Index Fund,ICLN,10.6101,$68.97M,68970000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/icln
iShares S&P Global Timber & Forestry Index Fund,WOOD,56.3,$324.29M,324290000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wood
iShares S&P India Nifty 50 Index Fund,INDY,32.8,$941.36M,941360000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/indy
iShares S&P/Citigroup International Treasury Bond Fund,IGOV,93.86,$483.38M,483380000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/igov
"Isis Pharmaceuticals, Inc.",ISIS,67.01,$7.92B,7920000000,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/isis
"Isle of Capri Casinos, Inc.",ISLE,10.44,$417.89M,417890000,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/isle
"Isramco, Inc.",ISRL,123,$334.28M,334280000,1983,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/isrl
"Itron, Inc.",ITRI,35.13,$1.37B,1370000000,1993,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/itri
Ituran Location and Control Ltd.,ITRN,23.09,$542.05M,542050000,2005,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/itrn
"Ivanhoe Energy, Inc.",IVAN,0.424,$6.96M,6960000,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ivan
Ixia,XXIA,10.45,$819.24M,819240000,2000,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/xxia
IXYS Corporation,IXYS,12.14,$384.22M,384220000,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ixys
J & J Snack Foods Corp.,JJSF,100.45,$1.88B,1880000000,1986,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/jjsf
"J. W. Mays, Inc.",MAYS,51,$102.8M,102800000,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/mays
"J.B. Hunt Transport Services, Inc.",JBHT,85.15,$9.98B,9980000000,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/jbht
"j2 Global, Inc.",JCOM,67.16,$3.21B,3210000000,1999,Technology,Telecommunications Equipment,http://www.nasdaq.com/symbol/jcom
"JA Solar Holdings, Co., Ltd.",JASO,8.63,$392.66M,392660000,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/jaso
"Jack Henry & Associates, Inc.",JKHY,67.26,$5.5B,5500000000,1985,Technology,EDP Services,http://www.nasdaq.com/symbol/jkhy
Jack In The Box Inc.,JACK,97.99,$3.8B,3800000000,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/jack
Jacksonville Bancorp Inc.,JXSB,23,$41.83M,41830000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/jxsb
"Jacksonville Bancorp, Inc.",JAXB,10.4375,$60.49M,60490000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/jaxb
"Jaguar Animal Health, Inc.",JAGX,n/a,n/a,0,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jagx
"JAKKS Pacific, Inc.",JAKK,6.96,$161.92M,161920000,1996,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/jakk
"Jamba, Inc.",JMBA,14.98,$260.7M,260700000,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/jmba
"James River Group Holdings, Ltd.",JRVR,21.82,$622.75M,622750000,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/jrvr
"Jason Industries, Inc.",JASN,8.01,$176.15M,176150000,2013,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/jasn
"Jason Industries, Inc.",JASNW,1.07,n/a,0,2013,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/jasnw
Jazz Pharmaceuticals plc,JAZZ,172.42,$10.43B,10430000000,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jazz
"JD.com, Inc.",JD,28.21,$38.43B,38430000000,2014,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/jd
JDS Uniphase Corporation,JDSU,13.53,$3.15B,3150000000,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/jdsu
JetBlue Airways Corporation,JBLU,17.49,$5.44B,5440000000,2002,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/jblu
JetPay Corporation,JTPY,2.62,$36.32M,36320000,2011,Finance,Business Services,http://www.nasdaq.com/symbol/jtpy
Jewett-Cameron Trading Company,JCTCF,11.4239,$29.54M,29540000,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/jctcf
Jiayuan.com International Ltd.,DATE,4.91,$160.49M,160490000,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/date
Jinpan International Limited,JST,5.3699,$88.17M,88170000,1998,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/jst
"Jive Software, Inc.",JIVE,5.01,$358.68M,358680000,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/jive
Joe&#39;s Jeans Inc.,JOEZ,0.21,$14.58M,14580000,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/joez
"John B. Sanfilippo & Son, Inc.",JBSS,36.04,$401.02M,401020000,1991,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/jbss
Johnson Outdoors Inc.,JOUT,29.5,$295.09M,295090000,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/jout
"Juno Therapeutics, Inc.",JUNO,45.52,$4.12B,4120000000,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/juno
"K2M Group Holdings, Inc.",KTWO,19.49,$769.17M,769170000,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ktwo
Kaiser Aluminum Corporation,KALU,75.34,$1.34B,1340000000,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/kalu
"KaloBios Pharmaceuticals, Inc.",KBIO,0.452,$14.91M,14910000,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kbio
Kamada Ltd.,KMDA,4.57,$164.47M,164470000,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kmda
"Kandi Technologies Group, Inc.",KNDI,13.62,$630.26M,630260000,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/kndi
Kansas City Life Insurance Company,KCLI,45.78,$498.5M,498500000,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/kcli
Karyopharm Therapeutics Inc.,KPTI,27.55,$900.97M,900970000,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kpti
KBS Fashion Group Limited,KBSF,3.65,$92.77M,92770000,2013,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/kbsf
"KCAP Financial, Inc.",KCAP,7.33,$269.4M,269400000,2006,n/a,n/a,http://www.nasdaq.com/symbol/kcap
Kearny Financial,KRNY,13.38,$901.48M,901480000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/krny
"Kelly Services, Inc.",KELYA,17.68,$666.99M,666990000,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/kelya
"Kelly Services, Inc.",KELYB,17.914,$675.82M,675820000,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/kelyb
Kentucky First Federal Bancorp,KFFB,7.98,$67.49M,67490000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/kffb
"Keryx Biopharmaceuticals, Inc.",KERX,12.07,$1.12B,1120000000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kerx
"Keurig Green Mountain, Inc.",GMCR,122.87,$19.87B,19870000000,1993,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/gmcr
Kewaunee Scientific Corporation,KEQU,17.84,$46.86M,46860000,n/a,Capital Goods,Medical Specialities,http://www.nasdaq.com/symbol/kequ
"Key Technology, Inc.",KTEC,12.53,$78.17M,78170000,1993,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ktec
Key Tronic Corporation,KTCC,9.79,$103.3M,103300000,1983,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/ktcc
"Kforce, Inc.",KFRC,23.57,$720.95M,720950000,1995,Technology,Professional Services,http://www.nasdaq.com/symbol/kfrc
"Kimball Electronics, Inc.",KE,12.05,$351.52M,351520000,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/ke
"Kimball International, Inc.",KBAL,9.27,$360.32M,360320000,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/kbal
"Kindred Biosciences, Inc.",KIN,6.77,$133.53M,133530000,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kin
"KineMed, Inc.",KNMD,n/a,n/a,0,n/a,n/a,n/a,http://www.nasdaq.com/symbol/knmd
Kingold Jewelry Inc.,KGJI,1.06,$69.91M,69910000,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/kgji
"Kingstone Companies, Inc",KINS,7.5499,$55.08M,55080000,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/kins
Kingtone Wirelessinfo Solution Holding Ltd,KONE,3.38,$4.75M,4750000,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/kone
"Kirkland&#39;s, Inc.",KIRK,24.45,$419.23M,419230000,2002,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/kirk
"Kite Pharma, Inc.",KITE,62.8,$2.66B,2660000000,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/kite
KLA-Tencor Corporation,KLAC,64.97,$10.57B,10570000000,1980,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/klac
KLX Inc.,KLXI,39.28,n/a,0,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/klxi
Knightsbridge Shipping Limited,VLCCF,4.58,$366.96M,366960000,1997,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/vlccf
Kofax Limited,KFX,6.79,$626.01M,626010000,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/kfx
"Kona Grill, Inc.",KONA,25.19,$278.05M,278050000,2005,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/kona
KongZhong Corporation,KZ,5.21,$238.99M,238990000,n/a,Technology,Telecommunications Equipment,http://www.nasdaq.com/symbol/kz
Kopin Corporation,KOPN,3.9,$257.04M,257040000,1992,Technology,Semiconductors,http://www.nasdaq.com/symbol/kopn
Koss Corporation,KOSS,1.93,$14.25M,14250000,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/koss
"Kraft Foods Group, Inc.",KRFT,64.42,$37.93B,37930000000,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/krft
KraneShares CSI China Internet ETF,KWEB,33.58,$94.02M,94020000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kweb
"Kratos Defense & Security Solutions, Inc.",KTOS,5.84,$337.53M,337530000,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ktos
"Ku6 Media Co., Ltd.",KUTV,0.9201,$43.76M,43760000,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/kutv
"Kulicke and Soffa Industries, Inc.",KLIC,16.06,$1.23B,1230000000,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/klic
"KVH Industries, Inc.",KVHI,12.86,$204.62M,204620000,1996,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/kvhi
"Kythera Biopharmaceuticals, Inc.",KYTH,43.43,$984.79M,984790000,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kyth
L.B. Foster Company,FSTR,49.23,$509.6M,509600000,n/a,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/fstr
La Jolla Pharmaceutical Company,LJPC,18.69,$284.57M,284570000,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ljpc
"Lake Shore Bancorp, Inc.",LSBK,13.95,$82.85M,82850000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/lsbk
"Lakeland Bancorp, Inc.",LBAI,11.1,$420.81M,420810000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lbai
Lakeland Financial Corporation,LKFN,39.18,$648.35M,648350000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lkfn
"Lakeland Industries, Inc.",LAKE,10,$70.47M,70470000,1986,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/lake
"Lakes Entertainment, Inc.",LACO,8.45,$113.14M,113140000,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/laco
Lam Research Corporation,LRCX,83.84,$13.36B,13360000000,1984,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lrcx
Lamar Advertising Company,LAMR,58.24,$6.41B,6410000000,1996,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lamr
Lancaster Colony Corporation,LANC,90.76,$2.48B,2480000000,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/lanc
Landec Corporation,LNDC,14.16,$380.56M,380560000,1996,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/lndc
Landmark Bancorp Inc.,LARK,23.98,$76.13M,76130000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lark
Landmark Infrastructure Partners LP,LMRK,16.66,$130.58M,130580000,2014,Consumer Services,Real Estate,http://www.nasdaq.com/symbol/lmrk
"Lands&#39; End, Inc.",LE,35.32,$1.13B,1130000000,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/le
"Landstar System, Inc.",LSTR,70.44,$3.15B,3150000000,1993,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/lstr
"Lantheus Holdings, Inc.",LNTH,n/a,n/a,0,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lnth
"Lantronix, Inc.",LTRX,1.8,$26.9M,26900000,2000,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ltrx
"LaPorte Bancorp, Inc.",LPSB,13.05,$74.74M,74740000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/lpsb
Lattice Semiconductor Corporation,LSCC,6.33,$747.15M,747150000,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/lscc
"Lawson Products, Inc.",LAWS,24.65,$214.4M,214400000,n/a,Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/laws
Layne Christensen Company,LAYN,7.6,$150.02M,150020000,1992,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/layn
LCNB Corporation,LCNB,15.12,$140.7M,140700000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lcnb
LDR Holding Corporation,LDRH,37.7,$982.34M,982340000,2013,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ldrh
Leading Brands Inc,LBIX,2.86,$8.38M,8380000,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/lbix
"Learning Tree International, Inc.",LTRE,1.75,$23.14M,23140000,1995,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/ltre
Legacy Reserves LP,LGCY,12.84,$888.09M,888090000,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lgcy
Legacy Reserves LP,LGCYO,20.6,$144.2M,144200000,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lgcyo
Legacy Reserves LP,LGCYP,20.34,$40.68M,40680000,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lgcyp
"LegacyTexas Financial Group, Inc.",LTXB,22.5,$900.16M,900160000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ltxb
"LeMaitre Vascular, Inc.",LMAT,7.63,$132.54M,132540000,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/lmat
"LendingTree, Inc.",TREE,43.84,$496.55M,496550000,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/tree
Levy Acquisition Corp.,LEVY,9.9899,$187.31M,187310000,2014,Finance,Business Services,http://www.nasdaq.com/symbol/levy
Levy Acquisition Corp.,LEVYU,10.33,$193.69M,193690000,2013,Finance,Business Services,http://www.nasdaq.com/symbol/levyu
Levy Acquisition Corp.,LEVYW,0.6,n/a,0,2014,Finance,Business Services,http://www.nasdaq.com/symbol/levyw
