id,name,country,status,formed_in,genre,theme,active
22292,Impure Sacrament,Argentina,Active,2014,Black/Death Metal,Evil| Death,2014-present
22293,Impure Ziggurat,France,Active,2012,Black/Death Metal,Lost Civilizations| Occult Astrosophy,2012-present
22294,Impureza,France,Active,2004,Death Metal with Flamenco elements,Anti-Christianity,2004-present
22295,Impuritum,Czech Republic,Active,2010,Death/Black Metal,N/A,2010-present
22296,Imunity,Portugal,Split-up,1992,Thrash/Death Metal,N/A,1992-?
22297,In Aeternum,Sweden,Active,1994,Black/Death Metal,Anti-Christianity| Blasphemy| Satanism| War| Hatred| Darkness,1992-1994 (as Behemoth)| 1994-present
22298,In Aggression,Chile,Split-up,1988,Death/Thrash Metal,N/A,1988-?
22299,In Articulo Mortis,Poland,Changed name,N/A,Doom/Death Metal,Misanthropy| Death,?| 2002-present (as Koimesis)
22300,In Bad Faith,Italy,Active,2007,Death Metal/Deathcore,N/A,2007-2009| 2011-present
22301,In Balrogs,Germany,Active,2006,Thrash/Death Metal,N/A,2006-present
22302,In Chains,Belgium,Split-up,2003,Thrash/Death Metal,Thrashing,2003-?
22303,In Contempt,Sweden,On hold,2005,Death/Black Metal,Death| Destruction| Hatred| Anti-Christianity,2005-2014
22304,In Darkness,Germany,Split-up,N/A,Doom/Death Metal,N/A,N/A
22305,In Death I Become,United States,Unknown,2003,Death/Doom Metal,Suicide| Occult| Mythology,2003-?
22306,In Dementia,Portugal,Active,2000,Gothic/Death Metal,N/A,2000-present
22307,In Demoni,Germany,Active,2013,Death/Black Metal,Darkness| Annihilation| Apocalypse,2013-present
22308,In Disgust,United States,Split-up,2006,Death Metal/Grindcore,N/A,2006-2010| 2013-2014
22309,In Emptiness,United States,Split-up,1993,Death/Doom Metal,Isolation| Loneliness| Transcendence,1993-?
22310,In Extremis,Argentina,Active,1996,Thrash/Death Metal,Humanity| Evolution| Social Issues,1996-present
22311,In Extremo Spiritu,Italy,Split-up,1994,Doom/Death Metal,Death| Dreams,1994-?
22312,In for the Kill,Japan,Active,2013,Metalcore/Death Metal,N/A,2013-present
22313,In Glorious March,Greece,Active,2012,Death/Black Metal,Darkness,2012-present
22314,In Hate,Austria,Active,2005,Death/Thrash Metal,Global failings| Wars| Lies,2005-present
22315,In Hell,France,Active,2013,Black/Death Metal,N/A,2013-present
22316,In Hell with Traitors,United States,Active,2008,Death Metal/Goregrind,Gore| Self Hatred| Depression| Insanity,2008-present
22317,In High Dungeon,Colombia,Split-up,2005,Thrash/Death Metal,Religion| War| Zombies| Mythology.,2005-2011
22318,In League with Satan,Italy,Active,2007,Black/Death Metal,Satanism| Blasphemy| Anti-Christ| Darkness| War,2007-present
22319,In Low Spirits,Italy,Unknown,1995,Death/Doom Metal,Dark Sorrow,1995-2002| 2008-?
22320,In Lupus Pacis,France,Changed name,N/A,Black/Death Metal,N/A,?-2000| 2000-2007 (as Leiden)
22321,In Memoriam,Germany,Split-up,2002,Black/Death Metal,N/A,2002-?
22322,In Memoriam,Netherlands,Split-up,1995,Death/Thrash Metal,N/A,1995-2005
22323,In Memorian,Brazil,Split-up,1993,Death/Black Metal,Morbid rituals| Occultism| Goetia| Satanism,1993-1996
22324,In Mortal Combat,Germany,Split-up,2005,Death Metal/Metalcore,N/A,2005-2008
22325,In Mortal Pain,Norway,Unknown,N/A,Black/Death Metal,N/A,N/A
22326,In Nocte at Arras,Germany,Split-up,N/A,Death Metal/Grindcore,N/A,N/A
22327,In Pulverem Reverteris,France,Changed name,2002,Death/Black Metal,N/A,2002-?| ?-present (as In Pieces Rotten)
22328,In Reverence,Sweden,Active,2010,Death Metal/Deathcore,Death| Destruction| Armageddon,2010-present
22329,In Ruins,United States,Unknown,1996,Doom/Death Metal,Darkness| Vampirism,?-1997 (as Black Thorns)| 1997-?
22330,In Shadows and Dust,France,Active,2014,Black/Death Metal,N/A,2014-present
22331,In Sufferance,Australia,Split-up,2002,Death Metal/Grindcore,Gore and Dismemberment,2002-?
22332,In tha Umbra,Portugal,Active,1996,Black/Death Metal,Mysticism| Death| Darkness| Occultism,1996-present
22333,In the Absence of Light,United Kingdom,Active,2007,Thrash/Death Metal,N/A,2007-present
22334,In the Kingdom of Nightmares,United States,Split-up,2008,Death/Thrash Metal,N/A,2008-2011
22335,In the Name of God,United States,Active,2003,Death Metal with Classical influences,War| Satanism| Disease,2003-present
22336,In the Shadows,Brazil,Unknown,2000,Doom/Death Metal,Darkness| Despair| Death| Life| Hate,2000-?
22337,In This Defiance,United Kingdom,Split-up,2002,Death Metal/Hardcore,N/A,2002-?
22338,In Tomorrows Shadow,United States,Unknown,2003,Death Metal/Metalcore,Politics| Death,2003-?
22339,Inacage,United States,Active,2007,Doom/Death Metal,N/A,2007-present
22340,Inaeternum,Colombia,Split-up,1992,Death/Doom Metal,Social criticism,1992-?
22341,Inayah,France,Active,2004,Death Metal/Metalcore,N/A,2004-present
22342,Inborn Suffering,France,Split-up,2002,Death/Doom Metal,Sadness| Pain| Sorrow,2002-2012
22343,Inc,Germany,Split-up,N/A,Death/Thrash Metal,N/A,N/A
22344,Incapacity,Sweden,Split-up,2002,Thrash/Death Metal,N/A,2002-?
22345,Incarcerate,Malaysia,Active,2005,Death Metal/Grindcore,Brutality,2005-present
22346,Incarcerated,United Kingdom,Split-up,1989,Thrash/Death Metal,N/A,1989-?
22347,Incarna,United Kingdom,Split-up,2003,Death/Groove Metal,N/A,2003-?
22348,Incarnate,Finland,Split-up,1999,Death/Thrash Metal,Death| Violence,1999-?
22349,Incarnated,Portugal,Changed name,1992,Doom/Death Metal,Losing Faith,1992 (as Cadaver Corpse)| 1992-1994| 1994-present (as Desire)
22350,Incarnated,Slovenia,Active,2011,Death/Thrash Metal,N/A,2011-present
22351,Incendiant,United States,Changed name,2002,Death/Thrash Metal,N/A,2002-2015| 2015-present (as Dissension)
22352,Inception,Brazil,Active,2009,Black/Death Metal,N/A,2009-present
22353,Inceptor,Austria,Split-up,2006,Death/Thrash Metal,N/A,2006-2012
22354,Incertain,Germany,Active,2012,Death/Thrash Metal,N/A,2012-present
22355,Incessant Torment,United States,Split-up,N/A,Death/Thrash Metal,Fears| Agony| Mental Conflicts,N/A
22356,Incest,Germany,Active,1992,Thrash/Death Metal,N/A,1992-present
22357,Incest,Russia,Active,1998,Thrash/Death Metal,N/A,1994-1996 (as Nekroz)| 1996-1998 (as Izverg)| 1998-present
22358,Incest in Heaven,Greece,Active,2009,Black/Death Metal,N/A,2009-present
22359,Inch,Germany,Split-up,1996,Thrash/Death Metal,N/A,1996-?
22360,Incinerad,Brazil,Active,2006,Death/Black Metal,Atheism| Anti-religions| Freedom,2006-present
22361,Incinerate,Belgium,Active,2008,Death/Thrash Metal,N/A,2008-present
22362,Incinerate,Peru,Split-up,2001,Death/Thrash Metal,Darkness| Evil,2001-?
22363,Incineration,Mexico,Active,N/A,Death Metal/Grindcore,N/A,N/A
22364,Incipit,Norway,On hold,2011,Black/Death Metal,N/A,2011-2016
22365,Incomparable,Denmark,Split-up,N/A,Death/Thrash Metal,N/A,N/A
22366,Incubus,Australia,Changed name,1986,Death/Thrash Metal,Evil,1986-1988| 1988-1994 (as Spectral Birth)
22367,Incubus,Mexico,Split-up,1988,Death/Thrash Metal,N/A,1988-1993
22368,Incubus,United States,Changed name,1986,Death/Thrash Metal,Evil| Violence| Death| Christianity,1986-1999| 1999-present (as Opprobrium)
22369,Incursion,Canada,Unknown,1998,Thrash/Death Metal,Instrumental,1998-?
22370,Incursion,Sweden,Split-up,1989,Death/Doom Metal,N/A,1989-1992
22371,Indecadence,Spain,On hold,2002,Death/Doom Metal,N/A,2002-present
22372,Indecent,Germany,Split-up,1998,Black/Death Metal,Death| Pain| Satanism,1998-2009
22373,Indesinence,United Kingdom,Split-up,2001,Doom/Death Metal,Sleep| Insomnia| Dreams| Natural Disasters,2001-2015
22374,Index Librorvm Prohibitorvm,Brazil,Unknown,2005,Death/Thrash Metal,Death,2005-2009
22375,Indicator,Germany,Active,2006,Death/Thrash Metal,N/A,2006-present
22376,Indictment,United States,Split-up,2008,Death Metal/Grindcore,Violence| Death| Gore| Personal Experience,2008
22377,Indifferent Creation,Germany,Active,2001,Death/Thrash Metal,N/A,2001-present
22378,Indomitor,Ecuador,Active,2012,Black/Death Metal,Desecration| Workship the Goat| Intolerance,2012-present
22379,InDubio,Germany,Active,2008,Death/Thrash Metal,Fun| Alcohol| Killing,2008-present
22380,Inductor,Poland,Active,2002,Thrash/Death Metal,War| Society| History| Religion,2002-2012| 2012-present
22381,Indulgence,New Zealand,Split-up,N/A,Death/Doom Metal,N/A,N/A
22382,Indungeon,Sweden,Split-up,1996,Thrash/Death Metal,War,1996-?
22383,Industrial Noise,Brazil,On hold,1994,Grindcore/Death Metal,Hate| Violence| Politics| Society,1994-1996| 1998-2009
22384,Industrial Suicide,Greece,Split-up,1989,Death Metal/Grindcore,N/A,1988-1989 (as Sound Pollution)| 1989-1991
22385,Induxión Mental,Argentina,Active,2010,Thrash/Death Metal,Social Criticism,2010-present
22386,Indyus,Austria,Unknown,2004,Death/Thrash Metal,N/A,2004-?
22387,Inert,United Kingdom,Split-up,1996,Death Metal/Grindcore,N/A,1996-?
22388,Inerthe,Brazil,Split-up,2007,Black/Death Metal,Misanthropy| Hate| Death,2006-2007 (as Abusive Nekrotraffikh)| 2007-?
22389,Inertia,France,Split-up,N/A,Death/Thrash Metal,N/A,N/A
22390,Inertia,Spain,Active,2004,Gothic/Death Metal,Love/Death/Frustration,2004-present
22391,Inevitable Plague,United States,Active,2011,Death/Thrash Metal,N/A,2008-2011 (as Silent Genocide)| 2011-present
22392,Infailtration,Germany,Split-up,2007,Death/Thrash Metal,N/A,2003-2007 (as Escape)| 2007-2015
22393,Infame,Brazil,Split-up,1989,Death Metal/Grindcore,Human Conflict| Reality,1989-?
22394,Infamy,United States,Active,1995,Death Metal/Grindcore,Death| Gore| Torture,1995-present
22395,Infamy,United States,Split-up,N/A,Death/Thrash Metal,N/A,N/A
22396,Infandous,United States,Split-up,1997,Death Metal/Grindcore,N/A,1997-2008
22397,Infant Sacrifice,United States,Split-up,1990,Black/Death Metal,Satanism| Occult| Death| Torture,1990-?
22398,Infanticide,Germany,Split-up,2000,Death/Groove Metal,N/A,2000-?
22399,Infanticide,Russia,Split-up,N/A,Thrash/Death Metal,N/A,N/A
22400,Infanticide,Sweden,Split-up,1991,Death/Thrash Metal,N/A,1991 (as Force Majeure)| 1991-1994
22401,Infanticide,Sweden,Active,2002,Death Metal/Grindcore,Political Unrest| Hate| Aggression| Social Issues|,2002-present
22402,Infantry of Doom,Germany,On hold,2000,Death/Thrash Metal,Death| Destruction| Serial Killers| TCM,2000-?
22403,Infección Zombie,El Salvador,Active,2007,Death Metal/Goregrind,Gore| Death| Dismemberments| Illnesses,2007 (as Septicemia)| 2008-present
22404,Infect,United States,Split-up,1987,Death/Thrash Metal,N/A,1987-1991
22405,Infected,Belgium,Split-up,1991,Death/Thrash Metal,Death| War,1991-?
22406,Infected,Greece,Split-up,1995,Thrash/Death Metal,Death| Human Pain,1995-?
22407,Infected,Italy,Active,2013,Death/Thrash Metal,N/A,? (as Sliding)| 2013-present
22408,Infected,Switzerland,Split-up,1987,Death/Thrash Metal,N/A,1987-1990
22409,Infected,Ukraine,Active,N/A,Death Metal/Grindcore,N/A,1991-2002| 2012-present
22410,Infected Flesh,Spain,Active,1997,Death Metal/Grindcore,Gore| Death,1997-2000| 2006-present
22411,Infected Guts,Russia,Split-up,2006,Death Metal/Goregrind,Gore,2006-?
22412,Infected Mind,Brazil,Active,2005,Death/Thrash Metal,Social Issues,2005-present
22413,Infected Mind,Poland,Active,1985,Death/Thrash Metal,N/A,1985 (as Werwolf)| 1985-2000| 2014-present
22414,Infected Priest,Finland,Active,2013,Death Metal/Grindcore,N/A,2013-present
22415,Infecthead,Italy,Active,2007,Industrial/Death Metal,Transhumanism| Gore,2007-present
22416,Infecting Hate,Switzerland,Split-up,N/A,Grindcore/Death Metal,N/A,N/A
22417,Infectious Catheter Therapy,Russia,Active,2007,Death Metal/Grindcore,Gore| Sex| Humour,2007-present
22418,Infectious Germs,Czech Republic,Split-up,N/A,Death Metal/Grindcore,N/A,N/A
22419,Infectious Hate,France,Split-up,2009,Death/Groove Metal,N/A,2009-2015
22420,Infector Cell,Brazil,Active,2006,Thrash/Death Metal,Violence| Life,2006-present
22421,Infectosis,Chile,On hold,2009,Thrash/Death Metal,Gore| Social Critics,2009-2012
22422,Infectus,Brazil,Unknown,N/A,Black/Death Metal,N/A,N/A
22423,Infectus,United Kingdom,Active,2001,Death/Thrash Metal,Death| Hatred| Brutality,? (as Shatterface)| 2001-present
22424,Infektion,Australia,Split-up,2008,Black/Death Metal,Life and Death| Anti-Religious| Sacrilegious| Pain,2008-2011
22425,Infer,Slovakia,Active,2002,Black/Death Metal,Anti-Humanity| Death| Hatred| Pain| Suffering,2002-present
22426,Inferi Gloria,France,Active,N/A,Black/Death Metal,N/A,N/A
22427,Inferia,Finland,Active,1989,Death Metal/Grindcore,Death| Gore| Sex| Porn,1989-present
22428,Inferms,Brazil,Active,2002,Death Metal/Grindcore,Death| Genocide| Blasphemy,2002-present
22429,Infernal,Sweden,Changed name,1997,Black/Death Metal,Devil Worship| Evil| Death| Destruction,1997-1999| 1999-2000 (as Hellspell)
22430,Infernal,Sweden,Split-up,1997,Black/Death Metal,Satanism,1997-2003| 2008-2013
22431,Infernal,United States,Split-up,1994,Death/Thrash Metal,Hatred| War| Antichristianity,1994-?
22432,Infernal Aggression,United States,Split-up,1992,Death/Thrash Metal,N/A,1992-?
22433,Infernal Atrocity,Chile,On hold,2002,Death/Thrash Metal,Satan,2002-?
22434,Infernal Awakening,United States,Active,2011,Black/Death Metal,Satanism| Occult| Darkness,2011-present
22435,Infernal Bizarre,Poland,Active,N/A,Death/Thrash Metal,N/A,N/A
22436,Infernal Blasphemy,Brazil,Split-up,2002,Death/Black Metal,Anti-religion| death,2002-2008
22437,Infernal Carnage,Switzerland,Split-up,N/A,Death Metal/Grindcore,N/A,N/A
22438,Infernal Command,Paraguay,Active,2002,Thrash/Death Metal,War| Violence| Anti-Religion| Anti-Christianity,2002-present
22439,Infernal Conquest,United States,Active,2011,Black/Death Metal,Barbarians| War| Demons,2011-present
22440,Infernal Curse,Argentina,Active,2008,Black/Death Metal,Demons| Temptation| Evil| Entities,2008-present
22441,Infernal Deathcrusher,Brazil,Split-up,2009,Death/Black Metal,Anti-Christianity| Nuclear War| Anti-Human,2004-2009 (as Hell Spyke)| 2009-2011| 2011-2012 (as Hell Spyke)
22442,Infernal Deity,United States,Active,N/A,Death Metal/Grindcore,Gore| Death| Horror,N/A
22443,Infernal Disdain,Germany,Active,2004,Death/Thrash Metal,N/A,2004-present
22444,Infernal Execrator,Singapore,Active,2005,Black/Death Metal,Anti-Religion| Hatred| Execration,2005-present
22445,Infernal Faith,United States,Split-up,N/A,Doom/Death Metal,N/A,N/A
22446,Infernal Gates,Sweden,Split-up,1992,Death/Doom Metal,Sorrow| Winter| Storms,1992-1999
22447,Infernal Gates,United States,Active,2003,Death Metal/Metalcore,N/A,2003-present
22448,Infernal Heirarchy,United States,Split-up,1993,Death/Thrash Metal,Sacrilege| Anti-Christianity,1988-1993 (as False Prophet)| 1993
22449,Infernal Kingdom,Chile,Active,2006,Black/Death Metal,N/A,2006-present
22450,Infernal Legion,Hungary,Changed name,1998,Death/Black Metal,N/A,1998-2010| 2011-present (as Internal Aeon)
22451,Infernal Necropsy,Costa Rica,Active,N/A,Death Metal/Grindcore,N/A,N/A
22452,Infernal Nightmare,Chile,Active,2006,Thrash/Death Metal,N/A,2006-present
22453,Infernal Noise,Brazil,Split-up,1989,Death Metal/Grindcore,N/A,1989-?
22454,Infernal Propaganda,United States,Active,N/A,Black/Death Metal,Satanism| War| Templars,N/A
22455,Infernal Sacrament,United States,Active,2012,Black/Death Metal,Traditional Satanism| Demons| War| Darkness,2012-present
22456,Infernal Sacrifice,Poland,Active,2000,Death/Black Metal,Satanism,2000-present
22457,Infernal Torture,Germany,Split-up,2005,Black/Death Metal,Life| Evilness| Misanthropy,2005-2009
22458,Infernal Void,Malaysia,Active,1992,Death/Thrash Metal,N/A,1992-present
22459,Infernale,Spain,Active,2013,Groove/Death Metal,N/A,2013-present
22460,Infernia,Mexico,Active,2003,Death/Thrash Metal,War| Death| Destruction,2002-2003 (as Apocalipsis XXI)| 2003-present
22461,Inferno,El Salvador,Split-up,2009,Death/Thrash Metal,N/A,2009-2014
22462,Inferno,Russia,Split-up,N/A,Death/Thrash Metal,Death| Hell| Satan,N/A
22463,Inferno,Venezuela,On hold,2004,Death Metal/Experimental,War| Death| Abstractism| Anti-Religion,2004-present
22464,Inferyus,Ecuador,Active,2010,Thrash/Death Metal,N/A,2010-present
22465,Infest,France,Split-up,N/A,Death/Thrash Metal,N/A,N/A
22466,Infest,France,Active,2003,Death Metal/Grindcore,Rage| Satan| Gore| Death,1998-2003 (as Excise)| 2003-present
22467,Infest,Poland,Split-up,N/A,Death/Thrash Metal,N/A,N/A
22468,Infest,Serbia,Active,2002,Death/Thrash Metal,Death| War| Anti-religion,2002-present
22469,Infestation,United States,Split-up,N/A,Death/Thrash Metal,N/A,N/A
22470,Infested,Mexico,Active,2013,Death/Black Metal,Satanism| Blasphemy| Madness,2013-present
22471,Infested Prophecy,United States,Active,2013,Black/Death Metal,N/A,2013-present
22472,Infested Soul,Bolivia,Active,N/A,Black/Death Metal,N/A,N/A
22473,Infesticide,Mexico,Active,2013,Death/Thrash Metal,Violence| Death| Mental issues| Gore| Chaos,2012-2013 (as Inherited)| 2013-present
22474,Infestor,Philippines,Active,2008,Thrash/Death Metal,N/A,2008-present
22475,Infidel,Chile,Split-up,1992,Grindcore/Death Metal,N/A,1992-?
22476,Infidel,Singapore,Split-up,N/A,Death/Thrash Metal,Religions,N/A
22477,Infidel,Turkey,Active,1997,Death Metal/Hardcore,N/A,1997-present
22478,Infiltrator,Finland,Unknown,N/A,Death Metal/Grindcore,Violence,N/A
22479,Infiltrator,Ukraine,Active,N/A,Black/Death Metal,Anti-Christianity,N/A
22480,Inflammatory,Germany,Split-up,1996,Gothic/Death Metal,N/A,1996-?
22481,Influenza Harlekin,Germany,Unknown,2005,Death Metal/Metalcore,N/A,2005-?
22482,Infraction,Canada,Split-up,2002,Death Metal/Metalcore,N/A,2002-2007
22483,Infuria,Italy,Split-up,2013,Death Metal/Crust,War| Blasphemy| Human Genocide,2013-2014| 2014-2016
22484,Ing,South Africa,Active,1998,Thrash/Death Metal,N/A,1998-present
22485,Ingens,France,Split-up,2004,Black/Death Metal,Anti-Christ| Hate| Evil| Darkness,2004-?
22486,Ingrowing,Czech Republic,Active,1995,Death Metal/Grindcore,Technology| Sci-Fi| Futuristic,1995-present
22487,Inhaling the Stench of Mustard Gas,Australia,Active,2002,Death Metal/Grindcore,War,2002-present
22488,Inharmonious,Mexico,Active,2005,Death/Thrash Metal,N/A,2005-present
22489,Inhumaine,Australia,Split-up,2004,Death/Thrash Metal,Humanity| Society| Life,2004-2008
22490,InHuman,Malaysia,Active,1990,Thrash/Death Metal,N/A,1990-1995| ?-present
22491,Inhuman,Poland,Split-up,2001,Doom/Death Metal,Death,2001-2003
22492,Inhuman Creation,Spain,Active,2011,Death/Thrash Metal,N/A,2011-present
22493,Inhuman Form,Serbia,Changed name,2004,Death/Thrash Metal,Inner-Self| Social| Nature,2005-2007| 2007-? (as Sculptor)
22494,Inhuman Infection,Indonesia,Active,2011,Death Metal/Grindcore,N/A,2011-present
22495,Inhuman Rage,Greece,Active,2010,Death/Thrash Metal,N/A,2010-present
22496,Inhumane Rites,Brazil,Active,2003,Black/Death Metal,Anti-Christianity| War| Death| Blasphemy,2003-present
22497,Inhumanity,Germany,Split-up,2004,Death Metal/Grindcore,Social depravity| war| anti-conformity,2004-?
22498,Inhumate,France,Active,1990,Death Metal/Grindcore,Society| Sardonic,1990-present
22499,Inhumation,Denmark,Split-up,N/A,Death/Black Metal,N/A,N/A
22500,Inhumation,United States,Active,1991,Thrash/Death Metal,N/A,1991-2010| 2014-present
22501,Inicuom,Peru,Active,2002,Black/Death Metal,War| paganism| obscurantism| Satanism| Inca themes,2002-2003| 2006-2008| 2009-2010| 2013-present
22502,Inkorner,Ukraine,Split-up,1998,Death/Doom Metal,Sorrow| Cruel Reality,1998-?
22503,Inmemorial,Peru,Active,1993,Doom/Death Metal,Melancholy| Pain| Wrath| Infinite Human Feelings,1993-present
22504,Inmortis,Canada,Split-up,2008,Death/Thrash Metal,N/A,2008-2012
22505,Inner Dogma,Spain,Split-up,N/A,Death Metal/Grindcore,N/A,?-? (as Abhorrent)| ?-?
22506,Inner Mortum,Mexico,Active,2008,Black/Death Metal,Sathan| War| Darkness| Hell| Misanthropy| Death,2008-present
22507,Inner Sanctum,India,Active,2007,Death/Thrash Metal,Misanthropy| Chaos| Religion| Turmoil,2007-present
22508,Inner Struggle,Germany,Unknown,2005,Death Metal/Hardcore,N/A,? (as Disfigured Abnormity)| 2005-?
22509,Inner Thought,Canada,Split-up,1989,Death Metal/Industrial,War| Death| Torture,1989-?
22510,Innerflesh,Sweden,Unknown,2003,Death/Thrash Metal,Misery| Agony| Hatred| Misfortunes,2003-?
22511,InnerGuilt,Lebanon,Active,2010,Thrash/Death Metal,N/A,2004-2010 (as Tristmoon)| 2010-present
22512,InnerHate,Colombia,Active,2001,Death Metal/Grindcore,Sickness| Death,2001-present
22513,Innermost,Greece,Split-up,1999,Death/Black Metal,N/A,1999-?
22514,Innerte,Argentina,Active,N/A,Groove/Death Metal,N/A,N/A
22515,Innerwrath,Mexico,Active,2007,Death/Thrash Metal,N/A,2007-present
22516,Innmorke,Russia,Split-up,2002,Black/Death Metal,Solitude| Despair| Darkness| Esoteric,2002-2012
22517,Innocent Bleeding,Chile,Unknown,2007,Death/Groove Metal,N/A,2007-?
22518,Innocent F.F.,Switzerland,Active,1997,Death/Thrash Metal,Hate| Sex and Violence,1997-present
22519,Innsmouth,Australia,Active,2008,Death/Black Metal,H.P. Lovecraft,2008-present
22520,Innxania,Peru,Unknown,2006,Thrash/Death Metal,Death| Sacrifice| Social,2006-?
22521,Inoculate Injure,Norway,Split-up,N/A,Black/Death Metal,N/A,N/A
22522,Inoculation,Colombia,Changed name,1995,Black/Death Metal,Anti-Christianity,1995-2001| 2001-present (as Horncrowned)
22523,Inorganic Germs,Netherlands,Split-up,N/A,Death/Thrash Metal,N/A,N/A
22524,Inquinatus,France,Split-up,N/A,Death/Black Metal,N/A,N/A
22525,Inquisition,Austria,On hold,1989,Doom/Death Metal,N/A,1989-1996
22526,Inquisitor,Brazil,Split-up,N/A,Thrash/Death Metal,N/A,N/A
22527,Inquisitor,Netherlands,Active,1991,Death/Thrash Metal,Anti-Christianity| Occultism| Blasphemy,1992-1997| 2014-present
22528,INRI,Peru,Active,1988,Death/Thrash Metal,Anti-Christianity,1988-1993| 2005-present
22529,Inrisório,Brazil,Active,2005,Death Metal/Grindcore,Anti-Christianity| Social Avversion| Hate,2005-present
22530,Inrresurrection,Spain,Active,N/A,Black/Death Metal,N/A,2012-present
22531,Inruinen,Germany,Split-up,2001,Death Metal/Grindcore,N/A,2001-?
22532,Insaint,Netherlands,Split-up,2006,Death/Thrash Metal,Coffee| Madness| Death| War| Hamsters,2006-2007| 2012-2014
22533,Insalubrious Virulent Clonation,Argentina,Unknown,2000,Death Metal/Grindcore,Death| Diseases| Ecology| War,2000-?
22534,Insan3,Canada,Active,2004,Groove/Death Metal,N/A,2004-present
22535,Insanacide,United States,Split-up,N/A,Death/Thrash Metal,N/A,N/A
22536,Insane Attitude,Italy,Active,2007,Death/Thrash Metal,Violence| Sorrow| Insanity| Society,2007-2009| 2014-present
22537,Insane Circus,France,Unknown,2003,Death/Groove Metal,N/A,2003-?
22538,Insane Therapy,Italy,Active,2008,Death Metal/Deathcore,Misanthropy| Hatred,2008-present
22539,Insane Welluse,Germany,Changed name,2004,Death Metal/Metalcore,N/A,2004-2008| 2008-present (as Nsane)
22540,Insaner,Peru,Active,1986,Death/Thrash Metal,Social problems| Political issues,1987-1989| 2013-present
22541,Insanhak,Malaysia,Active,2000,Death/Thrash Metal,Death| Political Unrest| Betray| Greed| Social Issues,2000-present
22542,Insania.11,Italy,Active,2008,Death/Thrash Metal,N/A,2008-present
22543,Insaniae,Portugal,Active,2003,Doom/Death Metal,Darkness| Evil| Fear,2003-present
22544,Insanis,Russia,Active,2013,Black/Death Metal,N/A,2013-present
22545,Insanitah,Brazil,Active,2005,Thrash/Death Metal,N/A,2005-2007| 2008-2012| 2014-present
22546,Insaniti,United States,Unknown,1988,Death/Thrash Metal,N/A,1988-?
22547,Insanity,Brazil,Split-up,1989,Death/Thrash Metal,Phoby| Mind| Human Reality,1989-?
22548,Insanity,Philippines,Split-up,2004,Death/Thrash Metal,Death| Gore,2003-2004 (as D.O.D.)| 2004-?
22549,Insanity,Poland,Split-up,1991,Death/Thrash Metal,N/A,1991-?
22550,Insanity,Singapore,Unknown,1987,Death/Thrash Metal,Insanity| Suffering and Sorrow,1987-?
22551,Insanity,United States,Active,1985,Death/Thrash Metal,Death| Armageddon,1985-1987| 1989-1994| 1997-2001| 2005-present
22552,Insanity Excursion,Germany,Active,2003,Death Metal/Grindcore,N/A,2003-present
22553,Insanity Force,Brazil,Active,2008,Death Metal/Grindcore,Hatred,2008-present
22554,Insanity Reigns Supreme,Belgium,Active,1989,Doom/Death Metal,Darkness| Doom| Solitude,1989-present
22555,Insanum Xes,Italy,Active,1997,Death/Black Metal,N/A,1997-present
22556,Insanus,Portugal,Split-up,2007,Death/Thrash Metal,Life| Death| Creation,2007-2010
22557,Insatiable,Netherlands,Changed name,2004,Doom/Death Metal,N/A,2004-?
22558,Insect Death,United States,Active,N/A,Death Metal/Grindcore,N/A,N/A
22559,Insect Mucus,Japan,Active,2005,Death/Thrash Metal,N/A,2005-present
22560,Inseminator,Poland,Split-up,2002,Death/Thrash Metal,Blasphemy| Deviation| Instigation,2002-2009
22561,Inseminoid,France,Split-up,1989,Death/Thrash Metal,Death,1989-?
22562,Insepulchral,Mexico,Active,1999,Black/Death Metal,Satanism,1999-present
22563,Inside,Colombia,Active,2005,Thrash/Death Metal,Politics| Mankind| Violence,2005-present
22564,Inside,Russia,Split-up,1994,Death/Thrash Metal,Death,1994-?
22565,Inside,Spain,Split-up,1997,Thrash/Death Metal,Horror| War| Faces of Dead| Drugs,1997-2005
22566,Inside Conflict,France,Split-up,1998,Death Metal/Grindcore,Violence| Horror,1998-2005
22567,Inside of Pain,Poland,On hold,1995,Death/Black Metal,N/A,1995-?
22568,Insides Out,Canada,Split-up,2007,Death Metal/Grindcore,N/A,2007-2011
22569,Insidian,Australia,Active,N/A,Death/Groove Metal,N/A,N/A
22570,Insidious,New Zealand,Split-up,2004,Death/Groove Metal,N/A,2004-?
22571,Insight,Russia,Changed name,N/A,Death/Doom Metal,N/A,?| 2004-present (as Elnordia)
22572,Insignium,Germany,Active,1996,Black/Death Metal,Death| Revenge| Horror,1996-present
22573,Insomnia,Germany,Split-up,1991,Death/Thrash Metal,N/A,1991-?
22574,Insomnia,Sweden,Active,N/A,Death Metal/Hardcore,N/A,N/A
22575,Insone,Brazil,Active,2000,Death/Thrash Metal,Christianity,2000-present
22576,Insorcist,Chile,Active,2006,Death/Black Metal,Anti-Christian| Occultism,2002-2006 (as Azael)| 2006-present
22577,Inspiracy,Germany,Split-up,2003,Death Metal/Deathcore,N/A,2003-?
22578,Instep,Brazil,Unknown,2004,Thrash/Death Metal,Christianity| Positivity,2004-?
22579,Instil,Netherlands,Split-up,2001,Melodic Death Metal| Metalcore,Social,2001-2007
