Rank,Company,Sector,Industry,Location,Revenue,Profits,Employees
630,Snap-on,Industrials,Industrial Machinery,"Kenosha, WI",3593,479,11500
631,Sprouts Farmers Market,Food and Drug Stores,Food and Drug Stores,"Phoenix, AZ",3593,129,20000
632,Roper Technologies,Technology,"Scientific,Photographic and Control Equipment","Sarasota, FL",3582,696,10806
633,First Solar,Energy,Energy,"Tempe, AZ",3579,546,6350
634,Pitney Bowes,Technology,"Computers, Office Equipment","Stamford, CT",3578,408,14800
635,ADT,Business Services,Diversified Outsourcing Services,"Boca Raton, FL",3574,296,17100
636,Molson Coors Brewing,"Food, Beverages & Tobacco",Beverages,"Denver, CO",3568,360,17500
637,Builders FirstSource,Materials,"Building Materials, Glass","Dallas, TX",3564,-23,14000
638,Lexmark International,Technology,Computer Peripherals,"Lexington, KY",3551,-40,14000
639,Carlisle,Materials,"Building Materials, Glass","Charlotte, NC",3543,320,12000
640,CalAtlantic Group,Engineering & Construction,Homebuilders,"Irvine, CA",3540,214,2855
641,Martin Marietta Materials,Materials,"Building Materials, Glass","Raleigh, NC",3540,289,7299
642,Hub Group,Transportation,Transportation and Logistics,"Oak Brook, IL",3526,71,2633
643,American Eagle Outfitters,Retailing,Specialty Retailers: Apparel,"Pittsburgh, PA",3522,218,22150
644,Abercrombie & Fitch,Retailing,Specialty Retailers: Apparel,"New Albany, OH",3519,36,28500
645,Regal Beloit,Industrials,"Electronics, Electrical Equip.","Beloit, WI",3510,143,26200
646,Country Financial,Financials,Insurance: Property and Casualty (Mutual),"Bloomington, IL",3506,173,3343
647,Meritor,Motor Vehicles & Parts,Motor Vehicles and Parts,"Troy, MI",3506,64,8400
648,Tailored Brands,Retailing,Specialty Retailers: Apparel,"Houston, TX",3496,-1027,21250
649,ON Semiconductor,Technology,Semiconductors and Other Electronic Components,"Phoenix, AZ",3496,206,24500
650,Pinnacle West Capital,Energy,Utilities: Gas and Electric,"Phoenix, AZ",3495,437,6407
651,Ventas,Financials,Real estate,"Chicago, IL",3486,418,466
652,Moody’s,Business Services,Financial Data Services,"New York, NY",3485,941,10400
653,Sprague Resources,Wholesalers,Wholesalers: Diversified,"Portsmouth, NH",3482,78,590
654,FMC,Chemicals,Chemicals,"Philadelphia, PA",3471,489,6000
655,Lennox International,Industrials,Industrial Machinery,"Richardson, TX",3467,187,10000
656,Buckeye Partners,Energy,Pipelines,"Houston, TX",3453,437,1765
657,Urban Outfitters,Retailing,Specialty Retailers: Apparel,"Philadelphia, PA",3445,225,16680
658,Manitowoc,Industrials,Construction and Farm Machinery,"Manitowoc, WI",3436,64,11430
659,Analog Devices,Technology,Semiconductors and Other Electronic Components,"Norwood, MA",3435,697,9700
660,Vulcan Materials,Materials,"Building Materials, Glass","Birmingham, AL",3422,221,7187
661,C.R. Bard,Health Care,Medical Products and Equipment,"Murray Hill, NJ",3416,135,15000
662,Murphy Oil,Energy,"Mining, Crude-Oil Production","El Dorado, AR",3415,-2271,1258
663,Nasdaq,Financials,Securities,"New York, NY",3403,428,3824
664,Darling Ingredients,"Food, Beverages & Tobacco",Food Production,"Irving, TX",3397,79,10000
665,Church & Dwight,Household Products,Household and Personal Products,"Ewing, NJ",3395,410,4406
666,Hubbell,Industrials,"Electronics, Electrical Equip.","Shelton, CT",3390,277,16200
667,Worthington Industries,Materials,Metals,"Columbus, OH",3384,77,10500
668,PolyOne,Chemicals,Chemicals,"Avon Lake, OH",3378,145,6900
669,Diplomat Pharmacy,Food and Drug Stores,Food and Drug Stores,"Flint, MI",3367,26,1616
670,Cooper-Standard Holdings,Motor Vehicles & Parts,Motor Vehicles and Parts,"Novi, MI",3343,112,29000
671,CME Group,Financials,Securities,"Chicago, IL",3327,1247,2530
672,Landstar System,Transportation,"Trucking, Truck Leasing","Jacksonville, FL",3321,148,1223
673,CACI International,Technology,Information Technology Services,"Arlington, VA",3314,126,16600
674,Westinghouse Air Brake Technologies,Industrials,Industrial Machinery,"Wilmerding, PA",3308,399,13000
675,Rent-A-Center,Retailing,Specialty Retailers: Other,"Plano, TX",3278,-867,24300
676,Citrix Systems,Technology,Network and Other Communications Equipment,"Fort Lauderdale, FL",3276,319,9500
677,Clean Harbors,Business Services,Waste Management,"Norwell, MA",3275,44,12900
678,Skyworks Solutions,Technology,Semiconductors and Other Electronic Components,"Woburn, MA",3258,798,6700
679,Alliant Energy,Energy,Utilities: Gas and Electric,"Madison, WI",3254,378,4070
680,TD Ameritrade Holding,Financials,Securities,"Omaha, NE",3253,813,5690
681,TEGNA,Media,Entertainment,"McLean, VA",3242,460,10020
682,IAC/InterActiveCorp,Technology,Internet Services and Retailing,"New York, NY",3231,120,5000
683,Fossil Group,Apparel,Apparel,"Richardson, TX",3229,221,15100
684,NBTY,Health Care,Pharmaceuticals,"Ronkonkoma, NY",3226,74,13100
685,ScanSource,Wholesalers,Wholesalers: Electronics and Office Equipment,"Greenville, SC",3219,65,2000
686,TreeHouse Foods,"Food, Beverages & Tobacco",Food Consumer Products,"Oak Brook, IL",3206,115,5880
687,Aleris,Materials,Metals,"Cleveland, OH",3206,49,5200
688,Groupon,Technology,Internet Services and Retailing,"Chicago, IL",3187,21,9872
689,Aaron’s,Retailing,Specialty Retailers: Other,"Atlanta, GA",3180,136,12700
690,Joy Global,Industrials,Construction and Farm Machinery,"Milwaukee, WI",3172,-1178,13400
691,Ryerson Holding,Materials,Metals,"Chicago, IL",3167,-1,3600
692,Helmerich & Payne,Energy,"Oil and Gas Equipment, Services","Tulsa, OK",3165,422,6733
693,HealthSouth,Health Care,Health Care: Medical Facilities,"Birmingham, AL",3163,183,27929
694,Vantiv,Business Services,Financial Data Services,"Symmes Township, OH",3160,148,3313
695,Skechers U.S.A.,Apparel,Apparel,"Manhattan Beach, CA",3159,232,6400
696,American Water Works,Energy,Miscellaneous,"Voorhees, NJ",3159,476,6700
697,Iasis Healthcare,Health Care,Health Care: Medical Facilities,"Franklin, TN",3158,-8,11950
698,Huntington Bancshares,Financials,Commercial Banks,"Columbus, OH",3153,693,12243
699,Tempur Sealy International,Household Products,"Home Equipment, Furnishings","Lexington, KY",3151,74,7200
700,EchoStar,Technology,Network and Other Communications Equipment,"Englewood, CO",3144,153,4400
701,CUNA Mutual Group,Financials,"Insurance: Life, Health (stock)","Madison, WI",3135,217,3722
702,Brown-Forman,"Food, Beverages & Tobacco",Beverages,"Louisville, KY",3134,684,4300
703,Noble Energy,Energy,"Mining, Crude-Oil Production","Houston, TX",3133,-2441,2395
703,Noble Energy,Energy,"Mining, Crude-Oil Production","Houston, TX",3133,-2441,2395
705,Regal Entertainment Group,Media,Entertainment,"Knoxville, TN",3127,153,25915
706,Consol Energy,Energy,"Mining, Crude-Oil Production","Canonsburg, PA",3114,-375,3114
707,Time,Media,"Publishing, Printing","New York, NY",3103,-881,7200
708,Varian Medical Systems,Health Care,Medical Products and Equipment,"Palo Alto, CA",3099,412,7300
709,SkyWest,Transportation,Airlines,"St. George, UT",3096,118,18300
710,BGC Partners,Financials,Securities,"New York, NY",3095,127,7841
711,Puget Energy,Energy,Utilities: Gas and Electric,"Bellevue, WA",3093,241,2800
712,H&R Block,Financials,Diversified Financials,"Kansas City, MO",3079,474,50400
713,Amerco,Transportation,"Trucking, Truck Leasing","Reno, NV",3075,357,18415
714,Brink’s,Business Services,Diversified Outsourcing Services,"Richmond, VA",3066,-12,59900
715,Oceaneering International,Energy,"Oil and Gas Equipment, Services","Houston, TX",3063,231,11000
716,Steelcase,Household Products,"Home Equipment, Furnishings","Grand Rapids, MI",3060,86,11550
717,W.R. Grace,Chemicals,Chemicals,"Columbia, MD",3052,144,6700
718,Metaldyne Performance Group,Motor Vehicles & Parts,Motor Vehicles and Parts,"Southfield, MI",3047,125,12000
719,KB Home,Engineering & Construction,Homebuilders,"Los Angeles, CA",3032,85,1680
720,International Flavors & Fragrances,Chemicals,Chemicals,"New York, NY",3023,419,6732
721,Genesco,Retailing,Specialty Retailers: Apparel,"Nashville, TN",3022,95,18363
722,Scripps Networks Interactive,Media,Entertainment,"Knoxville, TN",3018,607,3500
723,American National Insurance,Financials,"Insurance: Life, Health (stock)","Galveston, TX",3018,243,4736
724,Scotts Miracle-Gro,Chemicals,Chemicals,"Marysville, OH",3017,160,7900
725,Unisys,Technology,Information Technology Services,"Blue Bell, PA",3015,-110,23000
726,Carter’s,Apparel,Apparel,"Atlanta, GA",3014,238,16800
727,NOW,Wholesalers,Wholesalers: Diversified,"Houston, TX",3010,-502,4850
728,Mercury General,Financials,Insurance: Property and Casualty (Stock),"Los Angeles, CA",3009,75,4300
729,Iron Mountain,Business Services,Diversified Outsourcing Services,"Boston, MA",3008,123,20000
730,Carlyle Group,Financials,Securities,"Washington, DC",3006,-18,1700
731,Brinker International,"Hotels, Resturants & Leisure",Food Services,"Dallas, TX",3002,197,53000
732,Northern Tier Energy,Energy,Petroleum Refining,"Tempe, AZ",3002,331,2961
733,LinkedIn,Technology,Internet Services and Retailing,"Mountain View, CA",2991,-166,9372
734,Service Corp. International,Business Services,Miscellaneous,"Houston, TX",2986,234,19720
735,Stericycle,Business Services,Waste Management,"Lake Forest, IL",2986,267,25472
736,Sabre,Technology,Internet Services and Retailing,"Southlake, TX",2986,546,9100
737,Graham Holdings,Business Services,Education,"Arlington, VA",2984,-101,11585
738,Taylor Morrison Home,Engineering & Construction,Homebuilders,"Scottsdale, AZ",2977,61,1600
739,Cooper Tire & Rubber,Motor Vehicles & Parts,Motor Vehicles and Parts,"Findlay, OH",2973,213,9119
740,Old Dominion Freight Line,Transportation,"Trucking, Truck Leasing","Thomasville, NC",2972,305,17931
741,Warner Music Group,Media,Entertainment,"New York, NY",2966,-91,4211
742,Green Plains,Energy,Energy,"Omaha, NE",2966,7,995
743,Alpha Natural Resources,Energy,"Mining, Crude-Oil Production","Bristol, VA",2965,-5785,6700
744,Convergys,Business Services,Diversified Outsourcing Services,"Cincinnati, OH",2951,169,130000
745,TECO Energy,Energy,Utilities: Gas and Electric,"Tampa, FL",2944,174,3713
746,IMS Health Holdings,Health Care,Health Care: Pharmacy and Other Services,"Danbury, CT",2921,417,15000
747,MSC Industrial Direct,Wholesalers,Wholesalers: Diversified,"Melville, NY",2910,231,6588
748,Systemax,Retailing,Specialty Retailers: Other,"Port Washington, NY",2908,-100,3300
749,Triple-S Management,Health Care,Health Care: Insurance and Managed Care,"San Juan, PR",2903,52,3405
750,StanCorp Financial Group,Financials,"Insurance: Life, Health (stock)","Portland, OR",2902,215,2767
751,Universal Forest Products,Materials,Forest and Paper Products,"Grand Rapids, MI",2887,81,7000
752,Gannett,Media,"Publishing, Printing","McLean, VA",2885,146,18700
753,Amkor Technology,Technology,Semiconductors and Other Electronic Components,"Tempe, AZ",2885,57,26700
754,Linn Energy,Energy,"Mining, Crude-Oil Production","Houston, TX",2883,-4760,1760
755,Sentry Insurance Group,Financials,Insurance: Property and Casualty (Mutual),"Stevens Point, WI",2883,284,4169
756,Weis Markets,Food and Drug Stores,Food and Drug Stores,"Sunbury, PA",2877,59,19000
757,Timken,Industrials,Industrial Machinery,"North Canton, OH",2872,-71,14709
758,Cabot,Chemicals,Chemicals,"Boston, MA",2871,-334,4600
759,Univision Communications,Media,Entertainment,"New York, NY",2858,-45,3700
760,Keysight Technologies,Technology,"Scientific,Photographic and Control Equipment","Santa Rosa, CA",2856,513,10250
761,Olin,Chemicals,Chemicals,"Clayton, MO",2854,-1,6200
762,Cinemark Holdings,Media,Entertainment,"Plano, TX",2853,217,17649
763,Cracker Barrel Old Country Store,"Hotels, Resturants & Leisure",Food Services,"Lebanon, TN",2842,164,72000
764,Penn National Gaming,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts","Wyomissing, PA",2838,1,18204
765,Comerica,Financials,Commercial Banks,"Dallas, TX",2834,521,8818
766,AmSurg,Health Care,Health Care: Medical Facilities,"Nashville, TN",2833,163,10700
767,DST Systems,Business Services,Financial Data Services,"Kansas City, MO",2825,358,13420
768,Legg Mason,Financials,Securities,"Baltimore, MD",2819,237,2982
769,KLA-Tencor,Technology,Semiconductors and Other Electronic Components,"Milpitas, CA",2814,366,5880
770,Sanderson Farms,"Food, Beverages & Tobacco",Food Production,"Laurel, MS",2804,216,12264
771,PriceSmart,Retailing,Specialty Retailers: Other,"San Diego, CA",2803,89,7592
772,Superior Energy Services,Energy,"Oil and Gas Equipment, Services","Houston, TX",2793,-1855,8300
773,Bon-Ton Stores,Retailing,General Merchandisers,"York, PA",2790,-57,24100
774,KapStone Paper & Packaging,Materials,"Packaging, Containers","Northbrook, IL",2789,106,6400
775,Mednax,Health Care,Health Care: Pharmacy and Other Services,"Sunrise, FL",2780,336,8645
776,Total System Services,Business Services,Financial Data Services,"Columbus, GA",2780,364,10500
777,Global Payments,Business Services,Financial Data Services,"Atlanta, GA",2774,278,4438
778,Diebold,Technology,"Computers, Office Equipment","North Canton, OH",2768,74,16000
779,Scientific Games,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts","Las Vegas, NV",2759,-1394,8500
780,Applied Industrial Technologies,Wholesalers,Wholesalers: Diversified,"Cleveland, OH",2752,116,5839
781,Equity Residential,Financials,Real estate,"Chicago, IL",2746,870,3500
782,Crane,Industrials,Industrial Machinery,"Stamford, CT",2741,229,11200
783,Paychex,Business Services,Diversified Outsourcing Services,"Rochester, NY",2740,675,13000
784,New Jersey Resources,Energy,Energy,"Wall, NJ",2734,181,991
785,B/E Aerospace,Aerospace & Defense,Aerospace and Defense,"Wellington, FL",2730,286,10057
786,Equinix,Telecommunications,Telecommunications,"Redwood City, CA",2726,188,5042
787,Monster Beverage,"Food, Beverages & Tobacco",Beverages,"Corona, CA",2723,547,1857
788,TransDigm Group,Aerospace & Defense,Aerospace and Defense,"Cleveland, OH",2707,447,8200
789,Acuity Brands,Industrials,"Electronics, Electrical Equip.","Atlanta, GA",2707,222,7800
790,Hologic,Health Care,Medical Products and Equipment,"Marlborough, MA",2705,132,5290
791,TrueBlue,Business Services,Temporary Help,"Tacoma, WA",2696,71,5500
792,Broadridge Financial Solutions,Business Services,Financial Data Services,"Lake Success, NY",2694,287,7400
793,Verso,Materials,Forest and Paper Products,"Memphis, TN",2692,-477,1630
794,Wolverine World Wide,Apparel,Apparel,"Rockford, MI",2692,123,6550
795,Hain Celestial Group,"Food, Beverages & Tobacco",Food Consumer Products,"Lake Success, NY",2689,168,6307
796,Heartland Payment Systems,Business Services,Financial Data Services,"Princeton, NJ",2682,85,4272
797,Panera Bread,"Hotels, Resturants & Leisure",Food Services,"St. Louis, MO",2682,149,37200
798,Continental Resources,Energy,"Mining, Crude-Oil Production","Oklahoma City, OK",2680,-354,1143
799,Dentsply Sirona,Health Care,Medical Products and Equipment,"York, PA",2674,251,11400
800,ArcBest,Transportation,"Trucking, Truck Leasing","Fort Smith, AR",2667,45,13000
801,Equifax,Business Services,Financial Data Services,"Atlanta, GA",2664,429,8000
802,WGL Holdings,Energy,Energy,"Washington, DC",2660,131,1529
803,TriNet Group,Business Services,Diversified Outsourcing Services,"San Leandro, CA",2659,32,2500
804,Pinnacle Foods,"Food, Beverages & Tobacco",Food Consumer Products,"Parsippany, NJ",2656,213,4300
805,Plexus,Technology,Semiconductors and Other Electronic Components,"Neenah, WI",2654,94,14000
806,Kennametal,Industrials,Industrial Machinery,"Pittsburgh, PA",2647,-374,12700
807,Chico’s FAS,Retailing,Specialty Retailers: Apparel,"Fort Myers, FL",2642,2,14755
808,Kar Auction Services,Wholesalers,Wholesalers: Diversified,"Carmel, IN",2640,215,12528
809,GNC Holdings,Food and Drug Stores,Food and Drug Stores,"Pittsburgh, PA",2639,219,11650
810,Crestwood Equity Partners,Energy,Energy,"Houston, TX",2633,-1667,1300
811,WABCO Holdings,Motor Vehicles & Parts,Motor Vehicles and Parts,"Rochester Hills, MI",2628,275,12429
812,DSW,Retailing,Specialty Retailers: Apparel,"Columbus, OH",2620,136,11900
813,Valmont Industries,Industrials,Construction and Farm Machinery,"Omaha, NE",2619,40,10697
814,Greenbrier Cos.,Transportation,Transportation Equipment,"Lake Oswego, OR",2605,193,10689
815,Alexion Pharmaceuticals,Health Care,Pharmaceuticals,"New Haven, CT",2604,144,2924
816,Insperity,Business Services,Diversified Outsourcing Services,"Kingwood, TX",2604,39,2400
817,Hawaiian Electric Industries,Energy,Utilities: Gas and Electric,"Honolulu, HI",2603,160,3918
818,Alere,Health Care,Medical Products and Equipment,"Waltham, MA",2601,346,9800
819,ServiceMaster Global Holdings,Business Services,Diversified Outsourcing Services,"Memphis, TN",2594,160,13000
820,Apollo Education Group,Business Services,Education,"Phoenix, AZ",2591,30,23400
821,AMC Networks,Media,Entertainment,"New York, NY",2581,367,2341
822,Meritage Homes,Engineering & Construction,Homebuilders,"Scottsdale, AZ",2580,129,1409
823,Hyster-Yale Materials Handling,Industrials,Industrial Machinery,"Cleveland, OH",2578,75,5400
824,Caleres,Retailing,Specialty Retailers: Apparel,"St. Louis, MO",2577,82,11000
825,PC Connection,Retailing,Specialty Retailers: Other,"Merrimack, NH",2574,47,2155
826,Arch Coal,Energy,"Mining, Crude-Oil Production","St. Louis, MO",2573,-2913,4655
827,Mattress Firm Holding,Retailing,Specialty Retailers: Other,"Houston, TX",2547,65,7186
828,HCP,Financials,Real estate,"Irvine, CA",2544,-559,187
829,Platform Specialty Products,Chemicals,Chemicals,"West Palm Beach, FL",2542,-309,8200
830,Benchmark Electronics,Technology,Semiconductors and Other Electronic Components,"Angleton, TX",2541,95,10500
831,A.O. Smith,Industrials,"Electronics, Electrical Equip.","Milwaukee, WI",2537,283,13386
832,Lincoln Electric Holdings,Industrials,Industrial Machinery,"Cleveland, OH",2536,128,10000
833,Vornado Realty Trust,Financials,Real estate,"New York, NY",2530,760,4089
834,Teradata,Technology,Computer Software,"Dayton, OH",2530,-214,11300
835,Nortek,Industrials,Industrial Machinery,"Providence, RI",2526,-27,11400
836,Moog,Aerospace & Defense,Aerospace and Defense,"Elma, NY",2526,132,10691
837,Beacon Roofing Supply,Wholesalers,Wholesalers: Diversified,"Herndon, VA",2515,62,3366
838,National General Holdings,Financials,Insurance: Property and Casualty (Stock),"New York, NY",2511,142,4630
839,Aretec Group,Financials,Securities,"New York, NY",2509,-509,2116
840,J.Crew Group,Retailing,Specialty Retailers: Apparel,"New York, NY",2506,-1243,10450
841,EnerSys,Industrials,"Electronics, Electrical Equip.","Reading, PA",2506,181,9500
842,Autodesk,Technology,Computer Software,"San Rafael, CA",2504,-331,9500
843,Great Plains Energy,Energy,Utilities: Gas and Electric,"Kansas City, MO",2502,213,2899
844,Mutual of America Life Insurance,Financials,"Insurance: Life, Health (Mutual)","New York, NY",2495,65,1093
845,Edwards Lifesciences,Health Care,Medical Products and Equipment,"Irvine, CA",2494,495,9800
846,Boston Properties,Financials,Real estate,"Boston, MA",2491,583,765
847,ITT,Industrials,Industrial Machinery,"White Plains, NY",2486,352,9700
848,Affiliated Managers Group,Financials,Securities,"West Palm Beach, FL",2485,516,3200
849,Tops Holding,Food and Drug Stores,Food and Drug Stores,"Williamsville, NY",2472,-62,14800
850,United Refining,Energy,Petroleum Refining,"Warren, PA",2470,82,2997
851,Southwest Gas,Energy,Utilities: Gas and Electric,"Las Vegas, NV",2464,138,5876
852,Medical Mutual of Ohio,Financials,"Insurance: Life, Health (Mutual)","Cleveland, OH",2462,120,2186
853,Westar Energy,Energy,Utilities: Gas and Electric,"Topeka, KS",2459,292,2330
854,Ciena,Technology,Network and Other Communications Equipment,"Hanover, MD",2446,12,5345
855,Vectren,Energy,Utilities: Gas and Electric,"Evansville, IN",2435,197,5600
856,Edgewell Personal Care,Household Products,Household and Personal Products,"Chesterfield, MO",2421,-275,6000
857,Armstrong World Industries,Materials,"Building Materials, Glass","Lancaster, PA",2420,94,7600
858,Kansas City Southern,Transportation,Railroads,"Kansas City, MO",2419,484,6670
859,Enable Midstream Partners,Energy,Pipelines,"Oklahoma City, OK",2418,-752,1640
860,Cliffs Natural Resources,Energy,"Mining, Crude-Oil Production","Cleveland, OH",2418,-749,2638
861,General Growth Properties,Financials,Real estate,"Chicago, IL",2404,1375,1700
862,California Resources,Energy,"Mining, Crude-Oil Production","Los Angeles, CA",2403,-3554,1700
863,TRI Pointe Group,Engineering & Construction,Homebuilders,"Irvine, CA",2401,206,1036
864,Mettler-Toledo International,Technology,"Scientific,Photographic and Control Equipment","Columbus, OH",2395,353,13000
865,A. Schulman,Chemicals,Chemicals,"Fairlawn, OH",2392,27,5000
866,Toro,Industrials,Construction and Farm Machinery,"Bloomington, MN",2391,202,6874
867,SPX FLOW,Industrials,Industrial Machinery,"Charlotte, NC",2389,88,8000
868,Intuitive Surgical,Health Care,Medical Products and Equipment,"Sunnyvale, CA",2384,589,3211
869,West,Business Services,Diversified Outsourcing Services,"Omaha, NE",2383,242,10630
870,Public Storage,Business Services,Miscellaneous,"Glendale, CA",2382,1311,5300
871,Xilinx,Technology,Semiconductors and Other Electronic Components,"San Jose, CA",2377,648,3451
872,Stifel Financial,Financials,Securities,"St. Louis, MO",2377,92,7100
873,Donaldson,Industrials,Industrial Machinery,"Minneapolis, MN",2371,208,12500
874,Granite Construction,Engineering & Construction,"Engineering, Construction","Watsonville, CA",2371,61,3200
875,Pool,Wholesalers,Wholesalers: Diversified,"Covington, LA",2363,128,3800
876,Express,Retailing,Specialty Retailers: Apparel,"Columbus, OH",2350,117,10710
877,G-III Apparel Group,Apparel,Apparel,"New York, NY",2344,114,8919
878,Kemper,Financials,Insurance: Property and Casualty (Stock),"Chicago, IL",2341,86,5600
879,EQT,Energy,Energy,"Pittsburgh, PA",2340,85,1914
880,Nationstar Mortgage Holdings,Financials,Diversified Financials,"Coppell, TX",2339,39,6740
881,Parexel International,Health Care,Health Care: Pharmacy and Other Services,"Waltham, MA",2330,148,18660
882,Columbia Sportswear,Apparel,Apparel,"Portland, OR",2326,174,5978
883,inVentiv Health,Health Care,Health Care: Pharmacy and Other Services,"Burlington, MA",2321,-152,14000
884,Hawaiian Holdings,Transportation,Airlines,"Honolulu, HI",2318,183,5548
885,AptarGroup,Materials,"Packaging, Containers","Crystal Lake, IL",2317,199,13000
886,IHS Markit,Business Services,Financial Data Services,"Englewood, CO",2314,240,8600
887,Belden,Industrials,"Electronics, Electrical Equip.","St. Louis, MO",2309,66,8200
888,Maxim Integrated Products,Technology,Semiconductors and Other Electronic Components,"San Jose, CA",2307,206,8250
889,Coca-Cola Bottling,"Food, Beverages & Tobacco",Beverages,"Charlotte, NC",2307,59,8550
890,HNI,Household Products,"Home Equipment, Furnishings","Muscatine, IA",2304,105,10200
891,Vishay Intertechnology,Technology,Semiconductors and Other Electronic Components,"Malvern, PA",2301,-109,22400
892,Tetra Tech,Engineering & Construction,"Engineering, Construction","Pasadena, CA",2299,39,13000
893,Teledyne Technologies,Technology,"Scientific,Photographic and Control Equipment","Thousand Oaks, CA",2298,196,9200
894,Party City Holdco,Retailing,Specialty Retailers: Other,"Elmsford, NY",2295,11,12888
895,Pinnacle Entertainment,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts","Las Vegas, NV",2292,49,14726
896,Trimble Navigation,Technology,"Scientific,Photographic and Control Equipment","Sunnyvale, CA",2290,121,8451
897,Penn Mutual Life Insurance,Financials,"Insurance: Life, Health (stock)","Horsham, PA",2290,209,1022
898,MPM Holdings,Chemicals,Chemicals,"Waterford, NY",2289,-83,5000
899,Sears Hometown & Outlet Stores,Retailing,Specialty Retailers: Other,"Hoffman Estates, IL",2288,-27,2918
900,Tupperware Brands,Household Products,Household and Personal Products,"Orlando, FL",2284,186,13000
901,Alliance Holdings,Energy,"Mining, Crude-Oil Production","Tulsa, OK",2273,211,4243
902,Universal,"Food, Beverages & Tobacco",Tobacco,"Richmond, VA",2272,115,27000
903,Curtiss-Wright,Aerospace & Defense,Aerospace and Defense,"Charlotte, NC",2264,146,8400
904,Brocade Communications Systems,Technology,Network and Other Communications Equipment,"San Jose, CA",2264,340,4640
905,PerkinElmer,Technology,"Scientific,Photographic and Control Equipment","Waltham, MA",2263,212,8000
906,Wayfair,Technology,Internet Services and Retailing,"Boston, MA",2250,-77,3809
907,Nu Skin Enterprises,Household Products,Household and Personal Products,"Provo, UT",2247,133,26800
908,Genesis Energy,Energy,Pipelines,"Houston, TX",2247,423,1400
909,Synopsys,Technology,Computer Software,"Mountain View, CA",2242,226,10284
910,Amica Mutual Insurance,Financials,Insurance: Property and Casualty (Mutual),"Lincoln, RI",2231,63,3512
911,Carpenter Technology,Materials,Metals,"Wyomissing, PA",2227,59,4900
912,Illumina,Technology,"Scientific,Photographic and Control Equipment","San Diego, CA",2220,462,4600
913,Sinclair Broadcast Group,Media,Entertainment,"Hunt Valley, MD",2219,172,8000
914,Twitter,Technology,Internet Services and Retailing,"San Francisco, CA",2218,-521,3898
915,Domino’s Pizza,"Hotels, Resturants & Leisure",Food Services,"Ann Arbor, MI",2217,193,11900
916,Zions Bancorp.,Financials,Commercial Banks,"Salt Lake City, UT",2211,310,10200
917,Guess,Apparel,Apparel,"Los Angeles, CA",2204,82,13500
918,Boyd Gaming,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts","Las Vegas, NV",2199,47,18243
919,Akamai Technologies,Technology,Computer Software,"Cambridge, MA",2197,321,6084
920,Prologis,Financials,Real estate,"San Francisco, CA",2197,869,1555
921,OGE Energy,Energy,Utilities: Gas and Electric,"Oklahoma City, OK",2197,271,2586
922,Outerwall,Retailing,Specialty Retailers: Other,"Bellevue, WA",2195,44,2670
923,OneMain Holdings,Financials,Diversified Financials,"Evansville, IN",2192,-242,11400
924,Magellan Midstream Partners,Energy,Pipelines,"Tulsa, OK",2189,819,1640
925,Knights of Columbus,Financials,"Insurance: Life, Health (Mutual)","New Haven, CT",2180,68,929
926,Symetra Financial,Financials,"Insurance: Life, Health (stock)","Bellevue, WA",2179,147,1400
927,Gartner,Technology,Information Technology Services,"Stamford, CT",2163,176,7834
928,Fred’s,Food and Drug Stores,Food and Drug Stores,"Memphis, TN",2151,-7,7103
929,Hovnanian Enterprises,Engineering & Construction,Homebuilders,"Red Bank, NJ",2149,-16,2078
930,Kirby,Transportation,Miscellaneous,"Houston, TX",2148,227,4200
931,Microchip Technology,Technology,Semiconductors and Other Electronic Components,"Chandler, AZ",2147,369,9449
932,Herman Miller,Household Products,"Home Equipment, Furnishings","Zeeland, MI",2142,98,7510
933,Spirit Airlines,Transportation,Airlines,"Miramar, FL",2142,317,4326
934,NewMarket,Chemicals,Chemicals,"Richmond, VA",2141,239,1979
935,VCA,Health Care,Health Care: Medical Facilities,"Los Angeles, CA",2134,211,12700
936,Selective Insurance Group,Financials,Insurance: Property and Casualty (Stock),"Branchville, NJ",2132,166,2200
937,hhgregg,Retailing,Specialty Retailers: Other,"Indianapolis, IN",2129,-133,4941
938,Popular,Financials,Commercial Banks,"Hato Rey, PR",2123,895,7810
939,Waste Connections,Business Services,Waste Management,"The Woodlands, TX",2117,-96,7227
940,Restoration Hardware,Retailing,Specialty Retailers: Other,"Corte Madera, CA",2109,91,4200
941,Cheesecake Factory,"Hotels, Resturants & Leisure",Food Services,"Calabasas Hills, CA",2101,117,37600
942,Mueller Industries,Industrials,Industrial Machinery,"Memphis, TN",2100,88,4104
943,Maximus,Technology,Information Technology Services,"Reston, VA",2100,158,17000
944,TTM Technologies,Technology,Semiconductors and Other Electronic Components,"Costa Mesa, CA",2096,-26,29570
945,Werner Enterprises,Transportation,"Trucking, Truck Leasing","Omaha, NE",2094,124,12325
946,Engility Holdings,Technology,Information Technology Services,"Chantilly, VA",2086,-235,9800
947,Rexnord,Industrials,Industrial Machinery,"Milwaukee, WI",2084,84,8000
948,NuStar Energy,Energy,Pipelines,"San Antonio, TX",2084,307,1644
